[[1, 7], [2, 4], [3, 5], [6, 7]]
[35, 37, 42, 49, 8, 43, 9, 53]
[35, 37, 42, 49, 8, 43, 9, 54]
[35, 37, 42, 8, 43, 50, 9, 51]
[35, 37, 42, 8, 43, 50, 52, 9]
[35, 37, 42, 8, 43, 50, 9, 53]
[35, 37, 42, 8, 43, 50, 9, 54]
[35, 37, 42, 8, 43, 52, 9, 51]
[35, 37, 42, 8, 43, 9, 51, 53]
[35, 37, 42, 8, 43, 9, 51, 54]
[35, 37, 42, 8, 43, 52, 9, 53]
[35, 37, 42, 8, 43, 52, 9, 54]
[35, 37, 42, 8, 43, 9, 53, 54]
[35, 37, 42, 49, 8, 50, 9, 44]
[35, 37, 42, 49, 8, 9, 44, 51]
[35, 37, 42, 49, 8, 52, 9, 44]
[35, 37, 42, 49, 8, 9, 44, 53]
[35, 37, 42, 49, 8, 9, 44, 54]
[35, 37, 42, 8, 50, 9, 44, 51]
[35, 37, 42, 8, 50, 52, 9, 44]
[35, 37, 42, 8, 50, 9, 44, 53]
[35, 37, 42, 8, 50, 9, 44, 54]
[35, 37, 42, 8, 52, 9, 44, 51]
[35, 37, 42, 8, 9, 44, 51, 53]
[35, 37, 42, 8, 9, 44, 51, 54]
[35, 37, 42, 8, 52, 9, 44, 53]
[35, 37, 42, 8, 52, 9, 44, 54]
[35, 37, 42, 8, 9, 44, 53, 54]
[35, 37, 42, 49, 8, 50, 9, 51]
[35, 37, 42, 49, 8, 50, 52, 9]
[35, 37, 42, 49, 8, 50, 9, 53]
[35, 37, 42, 49, 8, 50, 9, 54]
[35, 37, 42, 49, 8, 52, 9, 51]
[35, 37, 42, 49, 8, 9, 51, 53]
[35, 37, 42, 49, 8, 9, 51, 54]
[35, 37, 42, 49, 8, 52, 9, 53]
[35, 37, 42, 49, 8, 52, 9, 54]
[35, 37, 42, 49, 8, 9, 53, 54]
[35, 37, 42, 8, 50, 52, 9, 51]
[35, 37, 42, 8, 50, 9, 51, 53]
[35, 37, 42, 8, 50, 9, 51, 54]
[35, 37, 42, 8, 50, 52, 9, 53]
[35, 37, 42, 8, 50, 52, 9, 54]
[35, 37, 42, 8, 50, 9, 53, 54]
[35, 37, 42, 8, 52, 9, 51, 53]
[35, 37, 42, 8, 52, 9, 51, 54]
[35, 37, 42, 8, 9, 51, 53, 54]
[35, 37, 42, 8, 52, 9, 53, 54]
[35, 37, 49, 8, 43, 50, 9, 44]
[35, 37, 49, 8, 43, 9, 44, 51]
[35, 37, 49, 8, 43, 52, 9, 44]
[35, 37, 49, 8, 43, 9, 44, 53]
[35, 37, 49, 8, 43, 9, 44, 54]
[35, 37, 8, 43, 50, 9, 44, 51]
[35, 37, 8, 43, 50, 52, 9, 44]
[35, 37, 8, 43, 50, 9, 44, 53]
[35, 37, 8, 43, 50, 9, 44, 54]
[35, 37, 8, 43, 52, 9, 44, 51]
[35, 37, 8, 43, 9, 44, 51, 53]
[35, 37, 8, 43, 9, 44, 51, 54]
[35, 37, 8, 43, 52, 9, 44, 53]
[35, 37, 8, 43, 52, 9, 44, 54]
[35, 37, 8, 43, 9, 44, 53, 54]
[35, 37, 49, 8, 43, 50, 9, 51]
[35, 37, 49, 8, 43, 50, 52, 9]
[35, 37, 49, 8, 43, 50, 9, 53]
[35, 37, 49, 8, 43, 50, 9, 54]
[35, 37, 49, 8, 43, 52, 9, 51]
[35, 37, 49, 8, 43, 9, 51, 53]
[35, 37, 49, 8, 43, 9, 51, 54]
[35, 37, 49, 8, 43, 52, 9, 53]
[35, 37, 49, 8, 43, 52, 9, 54]
[35, 37, 49, 8, 43, 9, 53, 54]
[35, 37, 8, 43, 50, 52, 9, 51]
[35, 37, 8, 43, 50, 9, 51, 53]
[35, 37, 8, 43, 50, 9, 51, 54]
[35, 37, 8, 43, 50, 52, 9, 53]
[35, 37, 8, 43, 50, 52, 9, 54]
[35, 37, 8, 43, 50, 9, 53, 54]
[35, 37, 8, 43, 52, 9, 51, 53]
[35, 37, 8, 43, 52, 9, 51, 54]
[35, 37, 8, 43, 9, 51, 53, 54]
[35, 37, 8, 43, 52, 9, 53, 54]
