[[ 3, 7, 9, 23, 13, 79 ],'<2, 1>',x^13 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x + y^2]
[[ 3, 3, 15, 23, 43, 87 ],'<2, 1>',x^13 + x^12 + x^10 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2 + x + y^2]
[[ 3, 3, 9, 31, 33, 63 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2 + x + y^2]
[[ 3, 3, 3, 7, 43, 63 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^6 + x^4*y + x^4 + x^3*y + x^3 + x^2 + x + y^2]
[[ 3, 7, 9, 23, 53, 79 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x + y^2]
[[ 3, 7, 15, 15, 43, 55 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 3, 7, 15, 15, 43, 55 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^7 + x^6 + x^4*y + x^4 + x^3 + x^2*y + x^2 + y^2 + y]
[[ 3, 3, 15, 23, 43, 63 ],'<2, 1>',x^14 + x^13 + x^12 + x^7 + x^5 + x^4*y + x^4 + x^3 + x^2*y + x^2 + x + y^2]
[[ 3, 7, 3, 15, 23, 55 ],'<2, 1>',x^13 + x^12 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3 + x^2*y + x^2 + x + y^2 + 1]
[[ 3, 7, 3, 15, 23, 55 ],'<2, 1>',x^13 + x^10 + x^9 + x^7 + x^6 + x^4*y + x^4 + x^3 + x^2*y + x^2 + x + y^2 + y + 1]
[[ 3, 7, 15, 31, 43, 79 ],'<4, 2>',x^13 + x^12 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^2*y + x^2 + x + y^2]
[[ 3, 7, 9, 7, 33, 79 ],'<2, 1>',x^13 + x^11 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^2*y + x^2 + x + y^2]
[[ 3, 7, 9, 7, 33, 79 ],'<2, 1>',x^13 + x^11 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^2*y + x^2 + x + y^2 + y]
[[ 3, 3, 15, 23, 23, 63 ],'<4, 1>',x^13 + x^11 + x^10 + x^6 + x^5 + x^4*y + x^4 + x^3 + x^2*y + x^2 + x + y^2 + 1]
