[[ 4, 8, 7, 24, 24, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^3 + x^2*y + x + y^2]
[[ 4, 8, 7, 24, 24, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7 + x^5 + x^4*y + x^4 + x^3*y + x^2 + x*y + x + y^2]
[[ 2, 4, 11, 16, 32, 61 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^4*y + x^4 + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 4, 11, 16, 32, 61 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 8, 7, 24, 24, 101 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x + y^2]
[[ 2, 8, 11, 32, 22, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x + y^2 + 1]
[[ 2, 8, 5, 16, 42, 101 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 8, 7, 32, 44, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^4*y + x^4 + x^2*y + x^2 + x + y^2]
[[ 2, 8, 11, 24, 42, 101 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^4*y + x^4 + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 8, 7, 16, 44, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^4 + x^2*y + x + y^2]
[[ 2, 8, 5, 24, 22, 53 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^4 + x^2*y + x + y^2 + 1]
[[ 2, 8, 5, 24, 22, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5 + x^4*y + x^4 + x^3*y + x^2 + x*y + y^2 + 1]
[[ 2, 8, 11, 8, 62, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x + y^2 + 1]
[[ 4, 4, 7, 16, 54, 85 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^3 + x^2*y + x + y^2]
[[ 4, 4, 13, 24, 34, 37 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^5 + x^4*y + x^2*y + x^2 + x + y^2]
[[ 4, 4, 13, 24, 34, 37 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^2*y + x*y + x + y^2]
[[ 2, 8, 5, 24, 42, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^4*y + x^4 + x^3 + x^2*y + x + y^2 + 1]
[[ 2, 8, 5, 24, 42, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^3 + x^2*y + x + y^2 + 1]
[[ 2, 8, 5, 24, 42, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^6 + x^5 + x^4*y + x^4 + x^3 + x^2*y + x*y + y^2 + 1]
[[ 2, 4, 5, 8, 32, 85 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x + y^2 + 1]
[[ 2, 4, 5, 24, 32, 37 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^4*y + x^2*y + x + y^2 + 1]
[[ 2, 4, 5, 24, 32, 37 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^2*y + x*y + y^2 + 1]
[[ 4, 4, 13, 16, 14, 37 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^2*y + x^2 + x + y^2]
[[ 4, 8, 13, 24, 44, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^4*y + x^4 + x^3 + x^2*y + x + y^2]
[[ 4, 8, 13, 24, 44, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^3 + x*y + x + y^2]
[[ 2, 4, 11, 24, 52, 61 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x + y^2 + 1]
[[ 2, 4, 11, 24, 52, 61 ],'<2, 1>',x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x*y + y^2 + 1]
[[ 2, 4, 5, 24, 32, 61 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^4*y + x^4 + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 4, 5, 24, 32, 61 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x*y + y^2 + 1]
[[ 4, 8, 13, 16, 24, 101 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7 + x^6 + x^5*y + x^4*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 4, 8, 13, 24, 24, 77 ],'<2, 1>',x^13 + x^12 + x^11 + x^8 + x^7 + x^5*y + x^4*y + x^2*y + x + y^2]
[[ 4, 8, 13, 24, 24, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5*y + x^5 + x^4*y + x^4 + x^2*y + x + y^2]
[[ 4, 8, 13, 24, 24, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^4*y + x^4 + x^3 + x^2*y + x*y + x + y^2]
[[ 4, 4, 13, 8, 34, 61 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^5*y + x^5 + x^4*y + x^3 + x^2*y + x^2 + x + y^2]
[[ 2, 4, 11, 24, 52, 37 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5*y + x^4*y + x^4 + x^3 + x^2*y + x + y^2 + 1]
[[ 2, 4, 11, 24, 52, 37 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3*y + x^2 + x*y + y^2 + 1]
[[ 4, 4, 7, 24, 14, 37 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^4 + x^2*y + x + y^2]
[[ 4, 4, 7, 24, 14, 37 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^4 + x^3*y + x*y + x + y^2]
[[ 4, 4, 7, 24, 34, 85 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^4*y + x^3 + x^2*y + x + y^2]
