[[ 2, 10, 8, 26, 42, 82 ],'<2, 1>',x^14 + x^13 + x^12 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3 + x^2*y + x*y + y^2 + y]
[[ 2, 10, 8, 26, 42, 82 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^8 + x^7*y + x^6*y + x^6 + x^5*y + x^5 + x^3 + x^2*y + x^2 + y^2 + y]
[[ 2, 10, 14, 34, 22, 94 ],'<2, 1>',x^14 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 4, 6, 10, 26, 14, 78 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^6*y + x^5*y + x^4*y + x^2*y + x*y + y^2 + y + 1]
[[ 2, 10, 8, 26, 42, 58 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^4*y + x^3 + x^2*y + x*y + x + y^2 + y]
[[ 2, 10, 8, 26, 42, 58 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^8 + x^7*y + x^7 + x^6*y + x^5*y + x^5 + x^4 + x^2*y + x + y^2 + y + 1]
[[ 3, 9, 9, 9, 33, 57 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7 + x^5 + x^4 + x^2 + y^2 + y + 1]
[[ 3, 9, 9, 9, 33, 57 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^7 + x^6 + x^5 + x^3 + y^2 + y]
[[ 3, 9, 9, 25, 33, 105 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^7 + x^6 + x^5 + x + y^2 + y]
[[ 3, 9, 9, 25, 33, 105 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7 + x^6 + x^3 + x^2 + y^2 + y]
[[ 3, 5, 9, 17, 53, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^2 + x + y^2 + y]
[[ 3, 9, 9, 25, 53, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^7 + x^5 + x^3 + x + y^2 + y]
[[ 3, 5, 9, 17, 33, 65 ],'<2, 1>',x^14 + x^13 + x^10 + x^8 + x^7 + x^5 + x^2 + y^2 + y + 1]
[[ 3, 5, 9, 17, 33, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^5 + x^2 + y^2 + y]
[[ 3, 9, 3, 9, 53, 69 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^7 + x^5 + x^3 + y^2 + y + 1]
[[ 3, 9, 9, 25, 33, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4 + y^2 + y + 1]
[[ 3, 9, 9, 25, 33, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4 + y^2 + y]
[[ 3, 5, 3, 17, 33, 101 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^5 + x^2 + x + y^2 + y]
[[ 3, 5, 3, 33, 13, 53 ],'<2, 1>',x^14 + x^13 + x^10 + x^9 + x^8 + x^3 + x + y^2 + y + 1]
[[ 3, 5, 3, 17, 33, 77 ],'<2, 1>',x^13 + x^12 + x^11 + x^7 + x^6 + x^5 + x^4 + y^2 + y]
[[ 3, 9, 15, 9, 13, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^6 + x^5 + x^4 + x + y^2 + y]
[[ 3, 5, 15, 33, 53, 53 ],'<2, 1>',x^13 + x^12 + x^9 + x^8 + x^7 + x^5 + x^4 + y^2 + y]
[[ 3, 9, 15, 25, 33, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + x^2 + x + y^2 + y + 1]
[[ 3, 5, 15, 17, 33, 101 ],'<2, 1>',x^13 + x^12 + x^10 + x^8 + x^7 + x^5 + x^3 + y^2 + y]
[[ 3, 9, 9, 25, 13, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^3 + x + y^2 + y]
[[ 3, 5, 9, 17, 13, 65 ],'<2, 1>',x^13 + x^10 + x^4 + y^2 + y + 1]
[[ 3, 9, 3, 25, 33, 69 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^7 + x^6 + x + y^2 + y]
[[ 3, 9, 15, 25, 53, 45 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^7 + x^5 + x + y^2 + y + 1]
[[ 3, 5, 9, 17, 33, 89 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7 + x^6 + x^5 + x + y^2 + y + 1]
[[ 5, 9, 17, 17, 25, 105 ],'<4, 2>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^4 + x + y^2 + y]
[[ 1, 9, 13, 17, 41, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^4 + x^3 + y^2 + y + 1]
[[ 1, 5, 1, 25, 41, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^4 + x^2 + y^2 + y + 1]
[[ 1, 5, 1, 25, 41, 41 ],'<4, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4 + x^2 + y^2 + y + 1]
[[ 5, 5, 11, 9, 25, 53 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^2 + x + y^2 + y]
[[ 1, 5, 7, 9, 41, 53 ],'<2, 1>',x^14 + x^13 + x^10 + x^8 + x^6 + x^2 + y^2 + y + 1]
[[ 5, 9, 11, 17, 45, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^6 + x^5 + x^2 + y^2 + y]
[[ 1, 5, 7, 25, 21, 101 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^3 + x^2 + y^2 + y + 1]
[[ 1, 5, 13, 9, 41, 41 ],'<4, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^3 + x^2 + y^2 + y + 1]
[[ 5, 9, 5, 33, 65, 57 ],'<4, 2>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^3 + x^2 + y^2 + y]
[[ 1, 5, 13, 25, 21, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^2 + y^2 + y + 1]
[[ 1, 9, 7, 17, 21, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^3 + x + y^2 + y + 1]
[[ 1, 9, 13, 33, 1, 57 ],'<4, 2>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4 + x^3 + y^2 + y + 1]
[[ 1, 5, 7, 25, 21, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^5 + x^4 + x^3 + y^2 + y + 1]
[[ 5, 9, 17, 17, 45, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^5 + x^4 + x^2 + y^2 + y]
[[ 3, 9, 3, 25, 33, 93 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^4 + x^3 + x^2 + y^2 + y]
[[ 3, 5, 9, 33, 33, 89 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^8 + x^7 + x^6 + x^5 + x^2 + y^2 + y]
[[ 1, 9, 1, 17, 21, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^3 + y^2 + y + 1]
[[ 5, 9, 11, 33, 25, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^8 + x^3 + x^2 + y^2 + y]
[[ 1, 9, 7, 17, 21, 45 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6 + x^3 + x + y^2 + y + 1]
[[ 5, 9, 11, 17, 25, 93 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^6 + x^5 + x^4 + x^3 + y^2 + y]
[[ 5, 9, 11, 17, 45, 45 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5 + x^2 + x + y^2 + y]
[[ 5, 9, 5, 17, 25, 81 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^4 + x^3 + y^2 + y]
[[ 5, 5, 17, 25, 25, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^4 + x^2 + y^2 + y]
[[ 1, 5, 1, 9, 1, 89 ],'<4, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^4 + x + y^2 + y + 1]
[[ 5, 5, 5, 25, 45, 65 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^2 + y^2 + y]
[[ 5, 9, 5, 17, 25, 105 ],'<4, 2>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^6 + x^3 + x + y^2 + y]
[[ 1, 5, 13, 25, 41, 89 ],'<4, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^4 + x^2 + y^2 + y + 1]
[[ 5, 5, 11, 25, 45, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^5 + x^4 + x^3 + y^2 + y]
[[ 1, 5, 7, 25, 41, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^5 + x^3 + x^2 + y^2 + y + 1]
[[ 5, 9, 17, 33, 25, 57 ],'<4, 2>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^7 + x^5 + x^4 + x + y^2 + y]
[[ 5, 5, 17, 9, 65, 89 ],'<4, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^5 + x^4 + x^3 + y^2 + y]
[[ 5, 5, 5, 25, 25, 89 ],'<4, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^3 + y^2 + y]
[[ 5, 5, 11, 25, 45, 101 ],'<2, 1>',x^14 + x^13 + x^10 + x^9 + x^5 + x + y^2 + y]
[[ 3, 9, 3, 25, 13, 45 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^7 + x^4 + x^2 + y^2 + y + 1]
[[ 1, 9, 7, 17, 41, 93 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^6 + x^5 + x^4 + x^2 + y^2 + y + 1]
[[ 1, 9, 7, 33, 41, 69 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + x^5 + x^4 + x^3 + y^2 + y + 1]
[[ 5, 5, 5, 9, 25, 41 ],'<4, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^3 + x^2 + y^2 + y]
[[ 5, 5, 11, 25, 25, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6 + x^2 + x + y^2 + y]
[[ 5, 5, 17, 25, 25, 41 ],'<4, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4 + x^2 + y^2 + y]
[[ 1, 9, 1, 33, 41, 57 ],'<4, 2>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^4 + x^3 + y^2 + y + 1]
[[ 1, 9, 1, 17, 41, 105 ],'<4, 2>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^4 + x^2 + y^2 + y + 1]
[[ 1, 9, 13, 17, 41, 105 ],'<4, 2>',x^14 + x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^2 + x + y^2 + y + 1]
[[ 3, 5, 3, 17, 53, 77 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^7 + x^5 + x^2 + y^2 + y + 1]
[[ 3, 5, 15, 17, 33, 77 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^5 + x^4 + x + y^2 + y]
[[ 3, 5, 15, 17, 13, 77 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^5 + x^4 + x^2 + y^2 + y]
[[ 3, 5, 9, 17, 33, 41 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6 + x^5 + x^3 + y^2 + y]
[[ 3, 9, 15, 25, 33, 93 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^5 + x^4 + x^3 + y^2 + y + 1]
[[ 3, 5, 9, 33, 33, 41 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^3 + x^2 + y^2 + y]
[[ 3, 5, 9, 13, 33, 89 ],'<2, 1>',x^13 + x^12 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + 1]
[[ 3, 5, 9, 13, 33, 89 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^5*y + x^5 + x^2*y + x + y^2 + 1]
[[ 3, 5, 9, 13, 33, 89 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^5*y + x^4 + x^2*y + x + y^2 + 1]
[[ 3, 5, 9, 13, 33, 89 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6 + x^4*y + x^4 + x^2 + x*y + y^2 + 1]
[[ 3, 5, 9, 13, 33, 89 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4*y + x^3 + x*y + y^2 + 1]
[[ 3, 5, 3, 21, 23, 65 ],'<2, 1>',x^14 + x^11 + x^10 + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + x*y + y^2 + 1]
[[ 3, 5, 15, 21, 43, 65 ],'<2, 1>',x^14 + x^11 + x^8 + x^6*y + x^5*y + x^4*y + x^3*y + x^2*y + x*y + y^2 + 1]
[[ 3, 5, 15, 5, 3, 89 ],'<6, 2>',x^13 + x^12 + x^11 + x^9 + x^6*y + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x*y + y^2 + 1]
[[ 3, 5, 9, 29, 33, 17 ],'<6, 2>',x^14 + x^12 + x^9 + x^8 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + 1]
[[ 3, 5, 3, 5, 63, 89 ],'<6, 2>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + 1]
[[ 3, 9, 9, 25, 43, 51 ],'<2, 1>',x^14 + x^12 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x*y + y^2 + y + 1]
[[ 3, 9, 9, 25, 43, 51 ],'<2, 1>',x^13 + x^11 + x^9 + x^6*y + x^3*y + y^2 + y + 1]
[[ 3, 5, 9, 33, 33, 59 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 3, 5, 9, 33, 33, 107 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^6 + x^5*y + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 3, 9, 9, 9, 3, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 3, 9, 9, 9, 43, 51 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y + 1]
[[ 3, 9, 9, 9, 43, 51 ],'<2, 1>',x^13 + x^9 + x^8 + x^6*y + x^3*y + y^2 + y + 1]
[[ 3, 9, 9, 9, 63, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 3, 5, 9, 33, 33, 35 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y + 1]
[[ 3, 5, 9, 33, 33, 35 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^2*y + x^2 + x*y + y^2 + y]
[[ 3, 9, 9, 25, 43, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^8 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 3, 9, 9, 25, 43, 75 ],'<2, 1>',x^14 + x^10 + x^7 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^2*y + x^2 + x*y + x + y^2 + y + 1]
[[ 3, 9, 9, 25, 43, 75 ],'<2, 1>',x^14 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^5*y + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x*y + y^2 + y]
[[ 3, 9, 9, 25, 43, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6*y + x^5 + x^4 + x^3*y + x^2 + y^2 + y]
[[ 3, 9, 9, 25, 43, 75 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^7 + x^6*y + x^5 + x^4 + x^3 + x*y + y^2 + y]
[[ 3, 5, 9, 17, 13, 59 ],'<2, 1>',x^14 + x^12 + x^11 + x^10 + x^9 + x^6*y + x^6 + x^5*y + x^5 + x^4*y + x^3*y + x^3 + x^2*y + x^2 + x*y + y^2 + y]
