[ 0, 1, 14, 7, 16, 8, 17, 43, 52, 18, 53 ],1
[ 0, 1, 14, 7, 16, 8, 17, 43, 18, 53, 54 ],1
[ 0, 1, 14, 7, 16, 8, 17, 50, 18, 44, 54 ],1
[ 0, 1, 14, 7, 16, 8, 17, 52, 18, 44, 53 ],1
[ 0, 1, 14, 7, 16, 8, 17, 18, 44, 53, 54 ],1
[ 0, 1, 14, 7, 16, 49, 8, 17, 50, 18, 54 ],1
[ 0, 1, 14, 7, 16, 49, 8, 17, 52, 18, 53 ],1
[ 0, 1, 5, 7, 42, 17, 43, 50, 18, 44, 51, 54 ],1
[ 0, 1, 14, 7, 16, 8, 17, 52, 18, 51, 53 ],1
[ 0, 1, 14, 7, 16, 8, 17, 18, 51, 53, 54 ],1
[ 0, 1, 40, 7, 16, 49, 8, 17, 18, 53, 54 ],1
[ 0, 1, 14, 7, 16, 8, 17, 52, 18, 53, 54 ],1
[ 0, 1, 14, 40, 7, 16, 42, 8, 17, 51, 54 ],1
[ 0, 1, 14, 40, 7, 16, 49, 8, 17, 43, 54 ],1
[ 0, 1, 14, 40, 7, 16, 49, 8, 17, 50, 53 ],2
[ 0, 1, 14, 40, 7, 16, 8, 17, 50, 51, 53 ],1
[ 0, 1, 14, 40, 7, 16, 8, 17, 50, 52, 53 ],1
[ 0, 1, 14, 40, 7, 16, 8, 17, 52, 53, 54 ],1
[ 0, 1, 14, 7, 16, 42, 49, 8, 17, 52, 53 ],1
[ 0, 1, 14, 7, 16, 42, 49, 8, 17, 53, 54 ],2
[ 0, 1, 14, 7, 16, 42, 8, 17, 52, 51, 53 ],1
[ 0, 1, 14, 7, 16, 42, 8, 17, 52, 53, 54 ],1
[ 0, 1, 14, 7, 16, 8, 17, 43, 44, 51, 54 ],1
[ 0, 1, 14, 7, 16, 49, 8, 17, 43, 51, 54 ],1
[ 0, 1, 14, 7, 16, 49, 8, 17, 43, 52, 53 ],1
[ 0, 1, 14, 7, 16, 8, 17, 43, 52, 51, 53 ],1
[ 0, 1, 14, 7, 16, 8, 17, 43, 52, 53, 54 ],1
[ 0, 1, 14, 7, 16, 8, 17, 50, 44, 53, 54 ],1
[ 0, 1, 14, 7, 16, 8, 17, 52, 44, 53, 54 ],1
[ 0, 1, 14, 7, 16, 49, 8, 17, 50, 52, 53 ],1
[ 0, 1, 14, 7, 16, 49, 8, 17, 50, 53, 54 ],1
[ 0, 1, 14, 7, 16, 8, 17, 50, 52, 51, 53 ],1
[ 0, 1, 5, 40, 8, 17, 52, 9, 18, 51, 53 ],1
[ 0, 1, 14, 7, 16, 8, 17, 50, 51, 53, 54 ],1
[ 0, 1, 14, 7, 16, 8, 17, 50, 52, 53, 54 ],1
[ 0, 1, 14, 40, 7, 16, 8, 43, 52, 18, 53 ],1
[ 0, 1, 14, 40, 7, 16, 8, 52, 18, 44, 53 ],1
[ 0, 1, 14, 40, 7, 16, 49, 8, 52, 18, 53 ],1
[ 0, 1, 14, 40, 7, 16, 8, 52, 18, 53, 54 ],1
[ 0, 1, 14, 7, 16, 42, 8, 43, 52, 18, 53 ],1
[ 0, 1, 14, 7, 16, 42, 8, 52, 18, 44, 53 ],1
[ 0, 1, 14, 7, 16, 42, 49, 8, 52, 18, 53 ],1
[ 0, 1, 14, 7, 16, 8, 43, 52, 18, 44, 53 ],1
[ 0, 1, 14, 7, 16, 49, 8, 43, 52, 18, 53 ],1
[ 0, 1, 14, 7, 16, 8, 43, 52, 18, 51, 53 ],1
[ 0, 1, 14, 7, 16, 8, 52, 18, 44, 53, 54 ],1
[ 0, 1, 14, 7, 16, 49, 8, 52, 18, 53, 54 ],1
[ 0, 1, 14, 40, 7, 16, 8, 50, 52, 44, 53 ],1
[ 0, 1, 14, 40, 7, 16, 49, 8, 50, 52, 53 ],1
[ 0, 1, 14, 7, 16, 42, 8, 43, 50, 52, 53 ],1
[ 0, 1, 14, 7, 16, 8, 50, 52, 51, 53, 54 ],1
[ 0, 1, 14, 40, 7, 42, 8, 17, 18, 44, 54 ],1
[ 0, 1, 14, 40, 7, 42, 8, 17, 18, 51, 54 ],1
