[[0], [2, 4], [3, 5], [6, 7]]
[16, 37, 42, 17, 50, 52, 54]
[16, 37, 42, 17, 50, 53, 54]
[16, 37, 42, 17, 52, 51, 53]
[16, 37, 42, 17, 52, 51, 54]
[16, 37, 42, 17, 51, 53, 54]
[16, 37, 42, 17, 52, 53, 54]
[16, 37, 49, 17, 43, 50, 44]
[16, 37, 49, 17, 43, 44, 51]
[16, 37, 49, 17, 43, 52, 44]
[16, 37, 49, 17, 43, 44, 53]
[16, 37, 49, 17, 43, 44, 54]
[16, 37, 17, 43, 50, 44, 51]
[16, 37, 17, 43, 50, 52, 44]
[16, 37, 17, 43, 50, 44, 53]
[16, 37, 17, 43, 50, 44, 54]
[16, 37, 17, 43, 52, 44, 51]
[16, 37, 17, 43, 44, 51, 53]
[16, 37, 17, 43, 44, 51, 54]
[16, 37, 17, 43, 52, 44, 53]
[16, 37, 17, 43, 52, 44, 54]
[16, 37, 17, 43, 44, 53, 54]
[16, 37, 49, 17, 43, 50, 51]
[16, 37, 49, 17, 43, 50, 52]
[16, 37, 49, 17, 43, 50, 53]
[16, 37, 49, 17, 43, 50, 54]
[16, 37, 49, 17, 43, 52, 51]
[16, 37, 49, 17, 43, 51, 53]
[16, 37, 49, 17, 43, 51, 54]
[16, 37, 49, 17, 43, 52, 53]
[16, 37, 49, 17, 43, 52, 54]
[16, 37, 49, 17, 43, 53, 54]
[16, 37, 17, 43, 50, 52, 51]
[16, 37, 17, 43, 50, 51, 53]
[16, 37, 17, 43, 50, 51, 54]
[16, 37, 17, 43, 50, 52, 53]
[16, 37, 17, 43, 50, 52, 54]
[16, 37, 17, 43, 50, 53, 54]
[16, 37, 17, 43, 52, 51, 53]
[16, 37, 17, 43, 52, 51, 54]
[16, 37, 17, 43, 51, 53, 54]
[16, 37, 17, 43, 52, 53, 54]
[16, 37, 49, 17, 50, 44, 51]
[16, 37, 49, 17, 50, 52, 44]
[16, 37, 49, 17, 50, 44, 53]
[16, 37, 49, 17, 50, 44, 54]
[16, 37, 49, 17, 52, 44, 51]
[16, 37, 49, 17, 44, 51, 53]
[16, 37, 49, 17, 44, 51, 54]
[16, 37, 49, 17, 52, 44, 53]
[16, 37, 49, 17, 52, 44, 54]
[16, 37, 49, 17, 44, 53, 54]
[16, 37, 17, 50, 52, 44, 51]
[16, 37, 17, 50, 44, 51, 53]
[16, 37, 17, 50, 44, 51, 54]
[16, 37, 17, 50, 52, 44, 53]
[16, 37, 17, 50, 52, 44, 54]
[16, 37, 17, 50, 44, 53, 54]
[16, 37, 17, 52, 44, 51, 53]
[16, 37, 17, 52, 44, 51, 54]
[16, 37, 17, 44, 51, 53, 54]
[16, 37, 17, 52, 44, 53, 54]
[16, 37, 49, 17, 50, 52, 51]
[16, 37, 49, 17, 50, 51, 53]
[16, 37, 49, 17, 50, 51, 54]
[16, 37, 49, 17, 50, 52, 53]
[16, 37, 49, 17, 50, 52, 54]
[16, 37, 49, 17, 50, 53, 54]
[16, 37, 49, 17, 52, 51, 53]
[16, 37, 49, 17, 52, 51, 54]
[16, 37, 49, 17, 51, 53, 54]
[16, 37, 49, 17, 52, 53, 54]
[16, 37, 17, 50, 52, 51, 53]
[16, 37, 17, 50, 52, 51, 54]
[16, 37, 17, 50, 51, 53, 54]
[16, 37, 17, 50, 52, 53, 54]
[16, 37, 17, 52, 51, 53, 54]
[40, 16, 42, 17, 38, 43, 39]
[40, 16, 42, 17, 38, 39, 44]
[40, 16, 42, 49, 17, 38, 39]
[40, 16, 42, 17, 38, 50, 39]
[40, 16, 42, 17, 38, 39, 51]
[40, 16, 42, 17, 38, 52, 39]
[40, 16, 42, 17, 38, 39, 53]
[40, 16, 42, 17, 38, 39, 54]
[40, 16, 17, 38, 43, 39, 44]
[40, 16, 49, 17, 38, 43, 39]
[40, 16, 17, 38, 43, 50, 39]
[40, 16, 17, 38, 43, 39, 51]
[40, 16, 17, 38, 43, 52, 39]
[40, 16, 17, 38, 43, 39, 53]
[40, 16, 17, 38, 43, 39, 54]
[40, 16, 49, 17, 38, 39, 44]
[40, 16, 17, 38, 50, 39, 44]
[40, 16, 17, 38, 39, 44, 51]
[40, 16, 17, 38, 52, 39, 44]
[40, 16, 17, 38, 39, 44, 53]
[40, 16, 17, 38, 39, 44, 54]
[40, 16, 49, 17, 38, 50, 39]
[40, 16, 49, 17, 38, 39, 51]
[40, 16, 49, 17, 38, 52, 39]
[40, 16, 49, 17, 38, 39, 53]
[40, 16, 49, 17, 38, 39, 54]
[40, 16, 17, 38, 50, 39, 51]
[40, 16, 17, 38, 50, 52, 39]
[40, 16, 17, 38, 50, 39, 53]
[40, 16, 17, 38, 50, 39, 54]
[40, 16, 17, 38, 52, 39, 51]
[40, 16, 17, 38, 39, 51, 53]
[40, 16, 17, 38, 39, 51, 54]
[40, 16, 17, 38, 52, 39, 53]
[40, 16, 17, 38, 52, 39, 54]
[40, 16, 17, 38, 39, 53, 54]
[16, 42, 17, 38, 43, 39, 44]
[16, 42, 49, 17, 38, 43, 39]
[16, 42, 17, 38, 43, 50, 39]
[16, 42, 17, 38, 43, 39, 51]
[16, 42, 17, 38, 43, 52, 39]
[16, 42, 17, 38, 43, 39, 53]
[16, 42, 17, 38, 43, 39, 54]
[16, 42, 49, 17, 38, 39, 44]
[16, 42, 17, 38, 50, 39, 44]
[16, 42, 17, 38, 39, 44, 51]
[16, 42, 17, 38, 52, 39, 44]
[16, 42, 17, 38, 39, 44, 53]
[16, 42, 17, 38, 39, 44, 54]
[16, 42, 49, 17, 38, 50, 39]
[16, 42, 49, 17, 38, 39, 51]
[16, 42, 49, 17, 38, 52, 39]
[16, 42, 49, 17, 38, 39, 53]
[16, 42, 49, 17, 38, 39, 54]
[16, 42, 17, 38, 50, 39, 51]
[16, 42, 17, 38, 50, 52, 39]
[16, 42, 17, 38, 50, 39, 53]
[16, 42, 17, 38, 50, 39, 54]
[16, 42, 17, 38, 52, 39, 51]
[16, 42, 17, 38, 39, 51, 53]
[16, 42, 17, 38, 39, 51, 54]
[16, 42, 17, 38, 52, 39, 53]
[16, 42, 17, 38, 52, 39, 54]
[16, 42, 17, 38, 39, 53, 54]
[16, 49, 17, 38, 43, 39, 44]
[16, 17, 38, 43, 50, 39, 44]
[16, 17, 38, 43, 39, 44, 51]
[16, 17, 38, 43, 52, 39, 44]
[16, 17, 38, 43, 39, 44, 53]
[16, 17, 38, 43, 39, 44, 54]
[16, 49, 17, 38, 43, 50, 39]
[16, 49, 17, 38, 43, 39, 51]
[16, 49, 17, 38, 43, 52, 39]
[16, 49, 17, 38, 43, 39, 53]
[16, 49, 17, 38, 43, 39, 54]
[16, 17, 38, 43, 50, 39, 51]
[16, 17, 38, 43, 50, 52, 39]
[16, 17, 38, 43, 50, 39, 53]
[16, 17, 38, 43, 50, 39, 54]
[16, 17, 38, 43, 52, 39, 51]
[16, 17, 38, 43, 39, 51, 53]
[16, 17, 38, 43, 39, 51, 54]
[16, 17, 38, 43, 52, 39, 53]
[16, 17, 38, 43, 52, 39, 54]
[16, 17, 38, 43, 39, 53, 54]
[16, 49, 17, 38, 50, 39, 44]
[16, 49, 17, 38, 39, 44, 51]
[16, 49, 17, 38, 52, 39, 44]
