[[0, 1, 5], [2, 4], [3, 5], [6, 7]]
[34, 40, 16, 37, 38, 52, 18, 39, 53]
[34, 40, 16, 37, 38, 52, 18, 39, 54]
[34, 40, 16, 37, 38, 18, 39, 53, 54]
[34, 16, 37, 42, 38, 43, 18, 39, 44]
[34, 16, 37, 42, 49, 38, 43, 18, 39]
[34, 16, 37, 42, 38, 43, 50, 18, 39]
[34, 16, 37, 42, 38, 43, 18, 39, 51]
[34, 16, 37, 42, 38, 43, 52, 18, 39]
[34, 16, 37, 42, 38, 43, 18, 39, 53]
[34, 16, 37, 42, 38, 43, 18, 39, 54]
[34, 16, 37, 42, 49, 38, 18, 39, 44]
[34, 16, 37, 42, 38, 50, 18, 39, 44]
[34, 16, 37, 42, 38, 18, 39, 44, 51]
[34, 16, 37, 42, 38, 52, 18, 39, 44]
[34, 16, 37, 42, 38, 18, 39, 44, 53]
[34, 16, 37, 42, 38, 18, 39, 44, 54]
[34, 16, 37, 42, 49, 38, 50, 18, 39]
[34, 16, 37, 42, 49, 38, 18, 39, 51]
[34, 16, 37, 42, 49, 38, 52, 18, 39]
[34, 16, 37, 42, 49, 38, 18, 39, 53]
[34, 16, 37, 42, 49, 38, 18, 39, 54]
[34, 16, 37, 42, 38, 50, 18, 39, 51]
[34, 16, 37, 42, 38, 50, 52, 18, 39]
[34, 16, 37, 42, 38, 50, 18, 39, 53]
[34, 16, 37, 42, 38, 50, 18, 39, 54]
[34, 16, 37, 42, 38, 52, 18, 39, 51]
[34, 16, 37, 42, 38, 18, 39, 51, 53]
[34, 16, 37, 42, 38, 18, 39, 51, 54]
[34, 16, 37, 42, 38, 52, 18, 39, 53]
[34, 16, 37, 42, 38, 52, 18, 39, 54]
[34, 16, 37, 42, 38, 18, 39, 53, 54]
[34, 16, 37, 49, 38, 43, 18, 39, 44]
[34, 16, 37, 38, 43, 50, 18, 39, 44]
[34, 16, 37, 38, 43, 18, 39, 44, 51]
[34, 16, 37, 38, 43, 52, 18, 39, 44]
[34, 16, 37, 38, 43, 18, 39, 44, 53]
[34, 16, 37, 38, 43, 18, 39, 44, 54]
[34, 16, 37, 49, 38, 43, 50, 18, 39]
[34, 16, 37, 49, 38, 43, 18, 39, 51]
[34, 16, 37, 49, 38, 43, 52, 18, 39]
[34, 16, 37, 49, 38, 43, 18, 39, 53]
[34, 16, 37, 49, 38, 43, 18, 39, 54]
[34, 16, 37, 38, 43, 50, 18, 39, 51]
[34, 16, 37, 38, 43, 50, 52, 18, 39]
[34, 16, 37, 38, 43, 50, 18, 39, 53]
[34, 16, 37, 38, 43, 50, 18, 39, 54]
[34, 16, 37, 38, 43, 52, 18, 39, 51]
[34, 16, 37, 38, 43, 18, 39, 51, 53]
[34, 16, 37, 38, 43, 18, 39, 51, 54]
[34, 16, 37, 38, 43, 52, 18, 39, 53]
[34, 16, 37, 38, 43, 52, 18, 39, 54]
[34, 16, 37, 38, 43, 18, 39, 53, 54]
[34, 16, 37, 49, 38, 50, 18, 39, 44]
[34, 16, 37, 49, 38, 18, 39, 44, 51]
[34, 16, 37, 49, 38, 52, 18, 39, 44]
[34, 16, 37, 49, 38, 18, 39, 44, 53]
[34, 16, 37, 49, 38, 18, 39, 44, 54]
[34, 16, 37, 38, 50, 18, 39, 44, 51]
[34, 16, 37, 38, 50, 52, 18, 39, 44]
[34, 16, 37, 38, 50, 18, 39, 44, 53]
[34, 16, 37, 38, 50, 18, 39, 44, 54]
[34, 16, 37, 38, 52, 18, 39, 44, 51]
[34, 16, 37, 38, 18, 39, 44, 51, 53]
[34, 16, 37, 38, 18, 39, 44, 51, 54]
[34, 16, 37, 38, 52, 18, 39, 44, 53]
[34, 16, 37, 38, 52, 18, 39, 44, 54]
[34, 16, 37, 38, 18, 39, 44, 53, 54]
[34, 16, 37, 49, 38, 50, 18, 39, 51]
[34, 16, 37, 49, 38, 50, 52, 18, 39]
[34, 16, 37, 49, 38, 50, 18, 39, 53]
[34, 16, 37, 49, 38, 50, 18, 39, 54]
[34, 16, 37, 49, 38, 52, 18, 39, 51]
[34, 16, 37, 49, 38, 18, 39, 51, 53]
[34, 16, 37, 49, 38, 18, 39, 51, 54]
[34, 16, 37, 49, 38, 52, 18, 39, 53]
[34, 16, 37, 49, 38, 52, 18, 39, 54]
[34, 16, 37, 49, 38, 18, 39, 53, 54]
[34, 16, 37, 38, 50, 52, 18, 39, 51]
[34, 16, 37, 38, 50, 18, 39, 51, 53]
[34, 16, 37, 38, 50, 18, 39, 51, 54]
[34, 16, 37, 38, 50, 52, 18, 39, 53]
[34, 16, 37, 38, 50, 52, 18, 39, 54]
[34, 16, 37, 38, 50, 18, 39, 53, 54]
[34, 16, 37, 38, 52, 18, 39, 51, 53]
[34, 16, 37, 38, 52, 18, 39, 51, 54]
[34, 16, 37, 38, 18, 39, 51, 53, 54]
[34, 16, 37, 38, 52, 18, 39, 53, 54]
[34, 40, 16, 37, 42, 38, 43, 18, 44]
[34, 40, 16, 37, 42, 49, 38, 43, 18]
[34, 40, 16, 37, 42, 38, 43, 50, 18]
[34, 40, 16, 37, 42, 38, 43, 18, 51]
[34, 40, 16, 37, 42, 38, 43, 52, 18]
