[[2, 4], [3], [5], [6, 7]]
[34, 16, 17, 38, 9, 51, 53]
[34, 16, 17, 38, 9, 51, 54]
[34, 16, 17, 38, 52, 9, 53]
[34, 16, 17, 38, 52, 9, 54]
[34, 16, 17, 38, 9, 53, 54]
[34, 16, 49, 17, 50, 9, 39]
[34, 16, 49, 17, 9, 39, 51]
[34, 16, 49, 17, 52, 9, 39]
[34, 16, 49, 17, 9, 39, 53]
[34, 16, 49, 17, 9, 39, 54]
[34, 16, 17, 50, 9, 39, 51]
[34, 16, 17, 50, 52, 9, 39]
[34, 16, 17, 50, 9, 39, 53]
[34, 16, 17, 50, 9, 39, 54]
[34, 16, 17, 52, 9, 39, 51]
[34, 16, 17, 9, 39, 51, 53]
[34, 16, 17, 9, 39, 51, 54]
[34, 16, 17, 52, 9, 39, 53]
[34, 16, 17, 52, 9, 39, 54]
[34, 16, 17, 9, 39, 53, 54]
[34, 16, 49, 17, 50, 9, 51]
[34, 16, 49, 17, 50, 52, 9]
[34, 16, 49, 17, 50, 9, 53]
[34, 16, 49, 17, 50, 9, 54]
[34, 16, 49, 17, 52, 9, 51]
[34, 16, 49, 17, 9, 51, 53]
[34, 16, 49, 17, 9, 51, 54]
[34, 16, 49, 17, 52, 9, 53]
[34, 16, 49, 17, 52, 9, 54]
[34, 16, 49, 17, 9, 53, 54]
[34, 16, 17, 50, 52, 9, 51]
[34, 16, 17, 50, 9, 51, 53]
[34, 16, 17, 50, 9, 51, 54]
[34, 16, 17, 50, 52, 9, 53]
[34, 16, 17, 50, 52, 9, 54]
[34, 16, 17, 50, 9, 53, 54]
[34, 16, 17, 52, 9, 51, 53]
[34, 16, 17, 52, 9, 51, 54]
[34, 16, 17, 9, 51, 53, 54]
[34, 16, 17, 52, 9, 53, 54]
[16, 37, 49, 17, 38, 9, 39]
[16, 37, 17, 38, 50, 9, 39]
[16, 37, 17, 38, 9, 39, 51]
[16, 37, 17, 38, 52, 9, 39]
[16, 37, 17, 38, 9, 39, 53]
[16, 37, 17, 38, 9, 39, 54]
[16, 37, 49, 17, 38, 50, 9]
[16, 37, 49, 17, 38, 9, 51]
[16, 37, 49, 17, 38, 52, 9]
[16, 37, 49, 17, 38, 9, 53]
[16, 37, 49, 17, 38, 9, 54]
[16, 37, 17, 38, 50, 9, 51]
[16, 37, 17, 38, 50, 52, 9]
[16, 37, 17, 38, 50, 9, 53]
[16, 37, 17, 38, 50, 9, 54]
[16, 37, 17, 38, 52, 9, 51]
[16, 37, 17, 38, 9, 51, 53]
[16, 37, 17, 38, 9, 51, 54]
[16, 37, 17, 38, 52, 9, 53]
[16, 37, 17, 38, 52, 9, 54]
[16, 37, 17, 38, 9, 53, 54]
[16, 37, 49, 17, 50, 9, 39]
[16, 37, 49, 17, 9, 39, 51]
[16, 37, 49, 17, 52, 9, 39]
[16, 37, 49, 17, 9, 39, 53]
[16, 37, 49, 17, 9, 39, 54]
[16, 37, 17, 50, 9, 39, 51]
[16, 37, 17, 50, 52, 9, 39]
[16, 37, 17, 50, 9, 39, 53]
[16, 37, 17, 50, 9, 39, 54]
[16, 37, 17, 52, 9, 39, 51]
[16, 37, 17, 9, 39, 51, 53]
[16, 37, 17, 9, 39, 51, 54]
[16, 37, 17, 52, 9, 39, 53]
[16, 37, 17, 52, 9, 39, 54]
[16, 37, 17, 9, 39, 53, 54]
[16, 37, 49, 17, 50, 9, 51]
[16, 37, 49, 17, 50, 52, 9]
[16, 37, 49, 17, 50, 9, 53]
[16, 37, 49, 17, 50, 9, 54]
[16, 37, 49, 17, 52, 9, 51]
[16, 37, 49, 17, 9, 51, 53]
[16, 37, 49, 17, 9, 51, 54]
[16, 37, 49, 17, 52, 9, 53]
[16, 37, 49, 17, 52, 9, 54]
[16, 37, 49, 17, 9, 53, 54]
[16, 37, 17, 50, 52, 9, 51]
[16, 37, 17, 50, 9, 51, 53]
[16, 37, 17, 50, 9, 51, 54]
[16, 37, 17, 50, 52, 9, 53]
[16, 37, 17, 50, 52, 9, 54]
[16, 37, 17, 50, 9, 53, 54]
[16, 37, 17, 52, 9, 51, 53]
[16, 37, 17, 52, 9, 51, 54]
[16, 37, 17, 9, 51, 53, 54]
[16, 37, 17, 52, 9, 53, 54]
[16, 49, 17, 38, 50, 9, 39]
[16, 49, 17, 38, 9, 39, 51]
[16, 49, 17, 38, 52, 9, 39]
[16, 49, 17, 38, 9, 39, 53]
[16, 49, 17, 38, 9, 39, 54]
[16, 17, 38, 50, 9, 39, 51]
[16, 17, 38, 50, 52, 9, 39]
[16, 17, 38, 50, 9, 39, 53]
[16, 17, 38, 50, 9, 39, 54]
[16, 17, 38, 52, 9, 39, 51]
[16, 17, 38, 9, 39, 51, 53]
[16, 17, 38, 9, 39, 51, 54]
[16, 17, 38, 52, 9, 39, 53]
[16, 17, 38, 52, 9, 39, 54]
[16, 17, 38, 9, 39, 53, 54]
[16, 49, 17, 38, 50, 9, 51]
[16, 49, 17, 38, 50, 52, 9]
[16, 49, 17, 38, 50, 9, 53]
[16, 49, 17, 38, 50, 9, 54]
[16, 49, 17, 38, 52, 9, 51]
[16, 49, 17, 38, 9, 51, 53]
[16, 49, 17, 38, 9, 51, 54]
[16, 49, 17, 38, 52, 9, 53]
[16, 49, 17, 38, 52, 9, 54]
[16, 49, 17, 38, 9, 53, 54]
[16, 17, 38, 50, 52, 9, 51]
[16, 17, 38, 50, 9, 51, 53]
[16, 17, 38, 50, 9, 51, 54]
[16, 17, 38, 50, 52, 9, 53]
[16, 17, 38, 50, 52, 9, 54]
[16, 17, 38, 50, 9, 53, 54]
[16, 17, 38, 52, 9, 51, 53]
[16, 17, 38, 52, 9, 51, 54]
[16, 17, 38, 9, 51, 53, 54]
[16, 17, 38, 52, 9, 53, 54]
[16, 49, 17, 50, 9, 39, 51]
[16, 49, 17, 50, 52, 9, 39]
[16, 49, 17, 50, 9, 39, 53]
[16, 49, 17, 50, 9, 39, 54]
[16, 49, 17, 52, 9, 39, 51]
[16, 49, 17, 9, 39, 51, 53]
[16, 49, 17, 9, 39, 51, 54]
[16, 49, 17, 52, 9, 39, 53]
[16, 49, 17, 52, 9, 39, 54]
[16, 49, 17, 9, 39, 53, 54]
[16, 17, 50, 52, 9, 39, 51]
[16, 17, 50, 9, 39, 51, 53]
[16, 17, 50, 9, 39, 51, 54]
[16, 17, 50, 52, 9, 39, 53]
[16, 17, 50, 52, 9, 39, 54]
[16, 17, 50, 9, 39, 53, 54]
[16, 17, 52, 9, 39, 51, 53]
[16, 17, 52, 9, 39, 51, 54]
[16, 17, 9, 39, 51, 53, 54]
[16, 17, 52, 9, 39, 53, 54]
[16, 49, 17, 50, 52, 9, 51]
[16, 49, 17, 50, 9, 51, 53]
[16, 49, 17, 50, 9, 51, 54]
[16, 49, 17, 50, 52, 9, 53]
[16, 49, 17, 50, 52, 9, 54]
[16, 49, 17, 50, 9, 53, 54]
[16, 49, 17, 52, 9, 51, 53]
[16, 49, 17, 52, 9, 51, 54]
[16, 49, 17, 9, 51, 53, 54]
[16, 49, 17, 52, 9, 53, 54]
[16, 17, 50, 52, 9, 51, 53]
[16, 17, 50, 52, 9, 51, 54]
[16, 17, 50, 9, 51, 53, 54]
[16, 17, 50, 52, 9, 53, 54]
[16, 17, 52, 9, 51, 53, 54]
[34, 16, 37, 38, 9, 18, 39]
[34, 16, 37, 49, 38, 9, 18]
[34, 16, 37, 38, 50, 9, 18]
[34, 16, 37, 38, 9, 18, 51]
[34, 16, 37, 38, 52, 9, 18]
[34, 16, 37, 38, 9, 18, 53]
[34, 16, 37, 38, 9, 18, 54]
[34, 16, 37, 49, 9, 18, 39]
[34, 16, 37, 50, 9, 18, 39]
[34, 16, 37, 9, 18, 39, 51]
[34, 16, 37, 52, 9, 18, 39]
[34, 16, 37, 9, 18, 39, 53]
[34, 16, 37, 9, 18, 39, 54]
[34, 16, 37, 49, 50, 9, 18]
