[[1], [2, 4], [3, 5], [6, 7]]
[34, 35, 40, 42, 9, 44, 51, 54]
[34, 35, 40, 42, 52, 9, 44, 53]
[34, 35, 40, 42, 52, 9, 44, 54]
[34, 35, 40, 42, 9, 44, 53, 54]
[34, 35, 40, 42, 49, 50, 9, 51]
[34, 35, 40, 42, 49, 50, 52, 9]
[34, 35, 40, 42, 49, 50, 9, 53]
[34, 35, 40, 42, 49, 50, 9, 54]
[34, 35, 40, 42, 49, 52, 9, 51]
[34, 35, 40, 42, 49, 9, 51, 53]
[34, 35, 40, 42, 49, 9, 51, 54]
[34, 35, 40, 42, 49, 52, 9, 53]
[34, 35, 40, 42, 49, 52, 9, 54]
[34, 35, 40, 42, 49, 9, 53, 54]
[34, 35, 40, 42, 50, 52, 9, 51]
[34, 35, 40, 42, 50, 9, 51, 53]
[34, 35, 40, 42, 50, 9, 51, 54]
[34, 35, 40, 42, 50, 52, 9, 53]
[34, 35, 40, 42, 50, 52, 9, 54]
[34, 35, 40, 42, 50, 9, 53, 54]
[34, 35, 40, 42, 52, 9, 51, 53]
[34, 35, 40, 42, 52, 9, 51, 54]
[34, 35, 40, 42, 9, 51, 53, 54]
[34, 35, 40, 42, 52, 9, 53, 54]
[34, 35, 40, 49, 43, 50, 9, 44]
[34, 35, 40, 49, 43, 9, 44, 51]
[34, 35, 40, 49, 43, 52, 9, 44]
[34, 35, 40, 49, 43, 9, 44, 53]
[34, 35, 40, 49, 43, 9, 44, 54]
[34, 35, 40, 43, 50, 9, 44, 51]
[34, 35, 40, 43, 50, 52, 9, 44]
[34, 35, 40, 43, 50, 9, 44, 53]
[34, 35, 40, 43, 50, 9, 44, 54]
[34, 35, 40, 43, 52, 9, 44, 51]
[34, 35, 40, 43, 9, 44, 51, 53]
[34, 35, 40, 43, 9, 44, 51, 54]
[34, 35, 40, 43, 52, 9, 44, 53]
[34, 35, 40, 43, 52, 9, 44, 54]
[34, 35, 40, 43, 9, 44, 53, 54]
[34, 35, 40, 49, 43, 50, 9, 51]
[34, 35, 40, 49, 43, 50, 52, 9]
[34, 35, 40, 49, 43, 50, 9, 53]
[34, 35, 40, 49, 43, 50, 9, 54]
[34, 35, 40, 49, 43, 52, 9, 51]
