[ 13, 34, 14, 35, 40, 37, 42, 38, 50, 52, 53 ],1
[ 13, 34, 14, 35, 40, 37, 42, 38, 50, 52, 54 ],1
[ 10, 34, 14, 35, 37, 42, 49, 17, 38, 50, 18, 39, 51, 53 ],1
[ 13, 34, 14, 35, 40, 37, 38, 43, 50, 51, 53 ],1
[ 13, 34, 14, 35, 40, 37, 49, 38, 52, 44, 51 ],1
[ 10, 34, 14, 35, 40, 42, 43, 50, 18, 51, 53, 54 ],1
[ 13, 34, 14, 35, 40, 37, 49, 38, 44, 51, 53 ],1
[ 10, 34, 35, 16, 37, 17, 43, 52, 18, 39, 51, 53 ],1
[ 13, 34, 14, 35, 40, 37, 38, 50, 52, 44, 53 ],1
[ 13, 34, 14, 35, 40, 37, 38, 52, 44, 53, 54 ],1
[ 13, 34, 14, 35, 40, 37, 49, 38, 52, 51, 54 ],1
[ 13, 34, 14, 35, 37, 42, 38, 50, 52, 44, 51 ],1
[ 10, 14, 40, 37, 49, 38, 43, 50, 52, 39, 44, 51 ],1
[ 13, 34, 14, 35, 37, 42, 38, 50, 52, 44, 53 ],1
[ 13, 34, 14, 35, 37, 42, 38, 50, 44, 53, 54 ],1
[ 13, 34, 14, 35, 37, 42, 38, 52, 44, 51, 53 ],1
[ 13, 34, 14, 35, 37, 42, 38, 52, 44, 53, 54 ],1
[ 13, 34, 14, 35, 37, 42, 38, 50, 52, 51, 54 ],1
[ 13, 34, 14, 35, 37, 38, 43, 50, 52, 44, 53 ],1
[ 13, 34, 14, 35, 37, 38, 43, 50, 44, 53, 54 ],1
[ 13, 34, 14, 35, 37, 38, 43, 52, 44, 53, 54 ],1
[ 13, 34, 14, 35, 37, 49, 38, 52, 44, 53, 54 ],1
[ 13, 34, 14, 35, 37, 38, 50, 52, 51, 53, 54 ],1
[ 13, 34, 14, 35, 40, 37, 42, 50, 52, 39, 44 ],1
[ 13, 34, 14, 35, 40, 37, 42, 50, 39, 44, 53 ],1
[ 13, 34, 14, 35, 40, 37, 42, 50, 39, 44, 54 ],1
[ 13, 34, 14, 35, 40, 37, 42, 50, 52, 39, 54 ],1
[ 13, 34, 14, 35, 40, 37, 42, 50, 39, 53, 54 ],1
[ 13, 34, 14, 35, 40, 37, 43, 39, 44, 51, 53 ],1
[ 13, 34, 14, 35, 40, 37, 43, 50, 39, 51, 53 ],1
[ 13, 34, 14, 35, 40, 37, 43, 39, 51, 53, 54 ],1
[ 13, 34, 14, 35, 40, 37, 49, 52, 39, 44, 51 ],1
[ 13, 34, 14, 35, 40, 37, 49, 39, 44, 51, 53 ],1
[ 13, 34, 14, 35, 40, 37, 52, 39, 44, 53, 54 ],1
[ 10, 34, 14, 35, 37, 49, 52, 18, 39, 44, 51, 54 ],1
[ 13, 34, 14, 35, 40, 37, 49, 52, 39, 51, 54 ],1
[ 13, 34, 14, 35, 37, 42, 49, 43, 39, 51, 53 ],1
[ 13, 34, 14, 35, 37, 42, 50, 52, 39, 44, 51 ],1
[ 13, 34, 14, 35, 37, 42, 50, 39, 44, 51, 53 ],1
[ 13, 34, 14, 35, 37, 42, 50, 39, 44, 51, 54 ],1
[ 13, 34, 14, 35, 37, 42, 50, 52, 39, 44, 53 ],1
[ 13, 34, 14, 35, 37, 42, 50, 39, 44, 53, 54 ],1
[ 13, 34, 14, 35, 37, 42, 52, 39, 44, 51, 53 ],1
[ 13, 34, 14, 35, 37, 42, 39, 44, 51, 53, 54 ],1
[ 13, 34, 14, 35, 37, 42, 52, 39, 44, 53, 54 ],1
[ 13, 34, 14, 35, 37, 43, 50, 39, 44, 53, 54 ],1
[ 13, 34, 14, 35, 37, 43, 52, 39, 44, 53, 54 ],1
[ 13, 34, 14, 35, 37, 50, 52, 39, 51, 53, 54 ],1
[ 13, 34, 14, 35, 40, 37, 42, 43, 52, 44, 51 ],1
[ 13, 34, 14, 35, 40, 37, 42, 43, 50, 51, 54 ],1
[ 13, 34, 14, 35, 40, 37, 42, 49, 50, 51, 53 ],1
[ 13, 34, 14, 35, 40, 37, 42, 49, 50, 51, 54 ],1
[ 13, 34, 14, 35, 40, 37, 42, 49, 52, 51, 53 ],1
[ 13, 34, 14, 35, 40, 37, 42, 50, 52, 53, 54 ],1
[ 13, 34, 14, 35, 40, 37, 49, 43, 50, 51, 53 ],1
