[ 0, 1, 14, 40, 7, 16, 42, 43, 50, 52, 53, 54 ],1
[ 0, 1, 14, 7, 16, 42, 49, 43, 50, 52, 44, 51 ],1
[ 0, 1, 14, 7, 16, 42, 49, 52, 44, 51, 53, 54 ],1
[ 0, 1, 14, 7, 16, 43, 50, 52, 44, 51, 53, 54 ],1
[ 0, 1, 14, 40, 7, 17, 43, 52, 18, 51, 53, 54 ],1
[ 0, 1, 14, 40, 7, 17, 50, 52, 18, 44, 53, 54 ],1
[ 0, 1, 14, 40, 7, 49, 17, 52, 18, 51, 53, 54 ],1
[ 0, 1, 14, 7, 42, 49, 17, 52, 18, 44, 53, 54 ],1
[ 0, 1, 14, 7, 42, 17, 50, 52, 18, 44, 53, 54 ],1
[ 0, 1, 14, 7, 49, 17, 43, 52, 18, 51, 53, 54 ],1
[ 0, 1, 14, 7, 17, 43, 50, 52, 18, 51, 53, 54 ],1
[ 0, 1, 14, 7, 49, 17, 50, 52, 18, 44, 53, 54 ],1
[ 0, 1, 14, 40, 7, 42, 49, 17, 43, 52, 44, 51 ],1
[ 0, 1, 14, 40, 7, 49, 17, 43, 50, 52, 53, 54 ],1
[ 0, 1, 14, 40, 7, 17, 50, 52, 44, 51, 53, 54 ],1
[ 0, 1, 14, 7, 42, 49, 17, 43, 50, 52, 44, 51 ],1
[ 1, 10, 5, 14, 40, 7, 8, 50, 52, 51, 53, 54 ],1
[ 0, 1, 14, 7, 42, 49, 17, 52, 44, 51, 53, 54 ],1
[ 0, 1, 14, 40, 7, 42, 49, 43, 52, 18, 44, 51 ],1
[ 0, 1, 14, 40, 7, 42, 49, 43, 52, 18, 53, 54 ],1
[ 0, 1, 14, 40, 7, 42, 43, 50, 52, 18, 53, 54 ],1
[ 0, 1, 14, 40, 7, 42, 49, 50, 52, 18, 44, 51 ],1
[ 0, 1, 14, 40, 7, 42, 49, 52, 18, 44, 53, 54 ],1
[ 0, 1, 10, 5, 40, 16, 49, 17, 43, 50, 52, 51, 53, 54 ],1
[ 0, 1, 14, 40, 7, 42, 50, 52, 18, 44, 53, 54 ],1
[ 0, 1, 14, 40, 7, 42, 52, 18, 44, 51, 53, 54 ],1
[ 0, 1, 14, 40, 7, 42, 49, 50, 52, 18, 53, 54 ],1
[ 0, 1, 14, 40, 7, 42, 49, 52, 18, 51, 53, 54 ],1
[ 0, 1, 14, 40, 7, 49, 43, 50, 52, 18, 44, 51 ],1
[ 0, 1, 14, 40, 7, 49, 43, 50, 52, 18, 53, 54 ],2
[ 0, 1, 14, 40, 7, 49, 43, 52, 18, 51, 53, 54 ],1
[ 0, 1, 14, 40, 7, 43, 50, 52, 18, 51, 53, 54 ],1
[ 0, 1, 14, 40, 7, 49, 52, 18, 44, 51, 53, 54 ],1
[ 0, 1, 14, 40, 7, 49, 50, 52, 18, 51, 53, 54 ],1
[ 0, 1, 14, 7, 42, 49, 43, 50, 52, 18, 44, 51 ],1
[ 0, 40, 7, 49, 17, 50, 52, 18, 51 ],1
[ 0, 1, 14, 7, 42, 49, 43, 52, 18, 44, 53, 54 ],1
[ 1, 10, 5, 7, 49, 8, 17, 52, 18, 44, 53, 54 ],1
[ 0, 1, 14, 7, 42, 43, 50, 52, 18, 44, 53, 54 ],1
[ 0, 1, 14, 7, 42, 43, 52, 18, 44, 51, 53, 54 ],1
[ 0, 1, 14, 7, 42, 49, 43, 50, 52, 18, 53, 54 ],1
[ 0, 1, 14, 7, 42, 43, 50, 52, 18, 51, 53, 54 ],1
[ 0, 1, 14, 7, 42, 49, 50, 52, 18, 44, 53, 54 ],1
[ 0, 1, 14, 7, 42, 49, 52, 18, 44, 51, 53, 54 ],1
[ 0, 1, 5, 14, 49, 43, 52, 18, 44, 53, 54 ],1
[ 0, 1, 14, 7, 49, 43, 50, 52, 18, 44, 53, 54 ],1
[ 0, 1, 14, 7, 49, 43, 52, 18, 44, 51, 53, 54 ],1
[ 0, 1, 14, 7, 49, 43, 50, 52, 18, 51, 53, 54 ],1
[ 0, 1, 14, 7, 49, 50, 52, 18, 44, 51, 53, 54 ],1
[ 0, 1, 14, 40, 7, 42, 49, 43, 50, 52, 44, 51 ],1
[ 0, 1, 14, 40, 7, 42, 49, 43, 52, 44, 53, 54 ],1
[ 0, 1, 14, 7, 42, 49, 43, 50, 52, 44, 53, 54 ],2
[ 0, 1, 14, 7, 42, 49, 43, 52, 44, 51, 53, 54 ],1
[ 0, 1, 14, 7, 42, 49, 50, 52, 44, 51, 53, 54 ],1
[ 0, 1, 40, 7, 16, 42, 49, 17, 50, 52, 18, 51 ],1
