[ 0, 1, 10, 40, 7, 42, 17, 52, 18, 51, 53, 54 ],1
[ 0, 1, 10, 40, 7, 49, 17, 43, 52, 18, 44, 51 ],1
[ 0, 1, 10, 40, 7, 17, 43, 50, 52, 18, 44, 51 ],1
[ 0, 1, 10, 40, 7, 49, 17, 43, 50, 52, 18, 51 ],1
[ 0, 1, 10, 40, 7, 49, 17, 43, 52, 18, 53, 54 ],1
[ 0, 1, 10, 40, 7, 49, 17, 50, 52, 18, 44, 51 ],1
[ 0, 1, 10, 40, 7, 49, 17, 50, 52, 18, 53, 54 ],1
[ 0, 1, 10, 40, 7, 17, 50, 52, 18, 51, 53, 54 ],1
[ 0, 1, 10, 7, 42, 49, 17, 43, 52, 18, 44, 51 ],1
[ 0, 1, 10, 7, 42, 17, 43, 50, 52, 18, 44, 51 ],1
[ 0, 1, 10, 40, 42, 8, 17, 50, 52, 9, 53, 54 ],1
[ 0, 1, 10, 7, 42, 17, 43, 52, 18, 44, 53, 54 ],2
[ 0, 1, 10, 7, 42, 49, 17, 43, 50, 52, 18, 51 ],1
[ 0, 1, 10, 7, 42, 49, 17, 43, 52, 18, 53, 54 ],1
[ 0, 1, 10, 7, 42, 17, 43, 50, 52, 18, 53, 54 ],1
[ 0, 1, 10, 7, 42, 49, 17, 50, 52, 18, 44, 51 ],1
[ 0, 1, 10, 7, 42, 17, 50, 52, 18, 44, 53, 54 ],1
[ 0, 1, 10, 7, 42, 17, 52, 18, 44, 51, 53, 54 ],1
[ 0, 1, 10, 7, 42, 49, 17, 50, 52, 18, 53, 54 ],1
[ 0, 1, 10, 7, 42, 49, 17, 52, 18, 51, 53, 54 ],1
[ 0, 1, 10, 7, 42, 17, 50, 52, 18, 51, 53, 54 ],1
[ 0, 1, 10, 7, 49, 17, 43, 52, 18, 44, 53, 54 ],1
[ 0, 1, 10, 7, 17, 43, 50, 52, 18, 44, 53, 54 ],1
[ 0, 1, 10, 7, 17, 43, 52, 18, 44, 51, 53, 54 ],1
[ 1, 10, 5, 7, 42, 8, 17, 50, 52, 9, 53, 54 ],1
[ 0, 1, 10, 7, 49, 17, 43, 50, 52, 18, 53, 54 ],1
[ 0, 1, 10, 7, 49, 17, 50, 52, 18, 44, 53, 54 ],2
[ 0, 1, 10, 7, 49, 17, 52, 18, 44, 51, 53, 54 ],1
[ 0, 1, 10, 7, 17, 50, 52, 18, 44, 51, 53, 54 ],1
[ 0, 1, 10, 7, 49, 17, 50, 52, 18, 51, 53, 54 ],1
[ 0, 1, 10, 40, 7, 42, 17, 43, 50, 52, 53, 54 ],1
[ 0, 1, 10, 40, 7, 42, 49, 17, 52, 44, 53, 54 ],1
[ 0, 1, 10, 40, 7, 42, 17, 50, 52, 51, 53, 54 ],1
[ 0, 1, 10, 40, 7, 17, 43, 50, 52, 44, 53, 54 ],1
[ 0, 1, 10, 40, 7, 49, 17, 43, 52, 51, 53, 54 ],1
[ 0, 1, 10, 40, 7, 17, 43, 50, 52, 51, 53, 54 ],1
[ 0, 1, 10, 7, 42, 49, 17, 43, 50, 52, 44, 51 ],1
[ 0, 1, 10, 7, 42, 49, 17, 43, 52, 44, 53, 54 ],1
[ 0, 1, 10, 7, 42, 17, 43, 50, 52, 51, 53, 54 ],1
[ 0, 1, 10, 7, 42, 49, 17, 50, 52, 44, 53, 54 ],1
[ 0, 1, 10, 7, 49, 17, 43, 50, 52, 51, 53, 54 ],1
[ 0, 1, 10, 40, 7, 42, 49, 52, 18, 44, 53, 54 ],1
[ 0, 1, 10, 40, 7, 43, 52, 18, 44, 51, 53, 54 ],1
[ 1, 10, 5, 14, 16, 8, 17, 52, 18, 51, 53, 54 ],1
[ 0, 1, 10, 7, 42, 43, 52, 18, 44, 51, 53, 54 ],1
[ 0, 1, 10, 40, 7, 42, 49, 43, 52, 44, 53, 54 ],1
[ 0, 1, 14, 40, 7, 16, 42, 17, 52, 18, 44, 51 ],1
[ 0, 1, 14, 40, 7, 16, 42, 49, 17, 52, 18, 51 ],1
[ 0, 1, 14, 40, 7, 16, 17, 43, 52, 18, 44, 51 ],1
[ 0, 1, 14, 40, 7, 16, 17, 43, 50, 52, 18, 51 ],1
[ 0, 1, 14, 40, 7, 16, 17, 43, 52, 18, 53, 54 ],1
[ 0, 1, 14, 40, 7, 16, 17, 50, 52, 18, 44, 51 ],1
[ 0, 1, 14, 40, 7, 16, 49, 17, 52, 18, 53, 54 ],1
