[[2, 5, 7], [3, 5], [4, 5, 7], [6, 7]]
[1, 10, 5, 16, 42, 49, 8, 43, 53, 54]
[1, 10, 5, 16, 42, 8, 43, 50, 52, 51]
[1, 10, 5, 16, 42, 8, 43, 50, 51, 53]
[1, 10, 5, 16, 42, 8, 43, 50, 51, 54]
[1, 10, 5, 16, 42, 8, 43, 50, 52, 53]
[1, 10, 5, 16, 42, 8, 43, 50, 52, 54]
[1, 10, 5, 16, 42, 8, 43, 50, 53, 54]
[1, 10, 5, 16, 42, 8, 43, 52, 51, 53]
[1, 10, 5, 16, 42, 8, 43, 52, 51, 54]
[1, 10, 5, 16, 42, 8, 43, 51, 53, 54]
[1, 10, 5, 16, 42, 8, 43, 52, 53, 54]
[1, 10, 5, 16, 42, 49, 8, 50, 44, 51]
[1, 10, 5, 16, 42, 49, 8, 50, 52, 44]
[1, 10, 5, 16, 42, 49, 8, 50, 44, 53]
[1, 10, 5, 16, 42, 49, 8, 50, 44, 54]
[1, 10, 5, 16, 42, 49, 8, 52, 44, 51]
[1, 10, 5, 16, 42, 49, 8, 44, 51, 53]
[1, 10, 5, 16, 42, 49, 8, 44, 51, 54]
[1, 10, 5, 16, 42, 49, 8, 52, 44, 53]
[1, 10, 5, 16, 42, 49, 8, 52, 44, 54]
[1, 10, 5, 16, 42, 49, 8, 44, 53, 54]
[1, 10, 5, 16, 42, 8, 50, 52, 44, 51]
[1, 10, 5, 16, 42, 8, 50, 44, 51, 53]
[1, 10, 5, 16, 42, 8, 50, 44, 51, 54]
[1, 10, 5, 16, 42, 8, 50, 52, 44, 53]
[1, 10, 5, 16, 42, 8, 50, 52, 44, 54]
[1, 10, 5, 16, 42, 8, 50, 44, 53, 54]
[1, 10, 5, 16, 42, 8, 52, 44, 51, 53]
[1, 10, 5, 16, 42, 8, 52, 44, 51, 54]
[1, 10, 5, 16, 42, 8, 44, 51, 53, 54]
[1, 10, 5, 16, 42, 8, 52, 44, 53, 54]
[1, 10, 5, 16, 42, 49, 8, 50, 52, 51]
[1, 10, 5, 16, 42, 49, 8, 50, 51, 53]
[1, 10, 5, 16, 42, 49, 8, 50, 51, 54]
[1, 10, 5, 16, 42, 49, 8, 50, 52, 53]
[1, 10, 5, 16, 42, 49, 8, 50, 52, 54]
[1, 10, 5, 16, 42, 49, 8, 50, 53, 54]
[1, 10, 5, 16, 42, 49, 8, 52, 51, 53]
[1, 10, 5, 16, 42, 49, 8, 52, 51, 54]
[1, 10, 5, 16, 42, 49, 8, 51, 53, 54]
[1, 10, 5, 16, 42, 49, 8, 52, 53, 54]
[1, 10, 5, 16, 42, 8, 50, 52, 51, 53]
[1, 10, 5, 16, 42, 8, 50, 52, 51, 54]
[1, 10, 5, 16, 42, 8, 50, 51, 53, 54]
