[[2], [3, 5], [4], [6, 7]]
[40, 16, 42, 49, 8, 17, 52, 44, 53, 54]
[40, 16, 42, 8, 17, 50, 52, 44, 51, 53]
[40, 16, 42, 8, 17, 50, 52, 44, 51, 54]
[40, 16, 42, 8, 17, 50, 44, 51, 53, 54]
[40, 16, 42, 8, 17, 50, 52, 44, 53, 54]
[40, 16, 42, 8, 17, 52, 44, 51, 53, 54]
[40, 16, 42, 49, 8, 17, 50, 52, 51, 53]
[40, 16, 42, 49, 8, 17, 50, 52, 51, 54]
[40, 16, 42, 49, 8, 17, 50, 51, 53, 54]
[40, 16, 42, 49, 8, 17, 50, 52, 53, 54]
[40, 16, 42, 49, 8, 17, 52, 51, 53, 54]
[40, 16, 42, 8, 17, 50, 52, 51, 53, 54]
[40, 16, 49, 8, 17, 43, 50, 52, 44, 51]
[40, 16, 49, 8, 17, 43, 50, 44, 51, 53]
[40, 16, 49, 8, 17, 43, 50, 44, 51, 54]
[40, 16, 49, 8, 17, 43, 50, 52, 44, 53]
[40, 16, 49, 8, 17, 43, 50, 52, 44, 54]
[40, 16, 49, 8, 17, 43, 50, 44, 53, 54]
[40, 16, 49, 8, 17, 43, 52, 44, 51, 53]
[40, 16, 49, 8, 17, 43, 52, 44, 51, 54]
[40, 16, 49, 8, 17, 43, 44, 51, 53, 54]
[40, 16, 49, 8, 17, 43, 52, 44, 53, 54]
[40, 16, 8, 17, 43, 50, 52, 44, 51, 53]
[40, 16, 8, 17, 43, 50, 52, 44, 51, 54]
[40, 16, 8, 17, 43, 50, 44, 51, 53, 54]
[40, 16, 8, 17, 43, 50, 52, 44, 53, 54]
[40, 16, 8, 17, 43, 52, 44, 51, 53, 54]
[40, 16, 49, 8, 17, 43, 50, 52, 51, 53]
[40, 16, 49, 8, 17, 43, 50, 52, 51, 54]
[40, 16, 49, 8, 17, 43, 50, 51, 53, 54]
[40, 16, 49, 8, 17, 43, 50, 52, 53, 54]
[40, 16, 49, 8, 17, 43, 52, 51, 53, 54]
[40, 16, 8, 17, 43, 50, 52, 51, 53, 54]
[40, 16, 49, 8, 17, 50, 52, 44, 51, 53]
[40, 16, 49, 8, 17, 50, 52, 44, 51, 54]
[40, 16, 49, 8, 17, 50, 44, 51, 53, 54]
[40, 16, 49, 8, 17, 50, 52, 44, 53, 54]
[40, 16, 49, 8, 17, 52, 44, 51, 53, 54]
[40, 16, 8, 17, 50, 52, 44, 51, 53, 54]
[40, 16, 49, 8, 17, 50, 52, 51, 53, 54]
[16, 42, 49, 8, 17, 43, 50, 52, 44, 51]
[16, 42, 49, 8, 17, 43, 50, 44, 51, 53]
[16, 42, 49, 8, 17, 43, 50, 44, 51, 54]
[16, 42, 49, 8, 17, 43, 50, 52, 44, 53]
[16, 42, 49, 8, 17, 43, 50, 52, 44, 54]
[16, 42, 49, 8, 17, 43, 50, 44, 53, 54]
[16, 42, 49, 8, 17, 43, 52, 44, 51, 53]
[16, 42, 49, 8, 17, 43, 52, 44, 51, 54]
[16, 42, 49, 8, 17, 43, 44, 51, 53, 54]
[16, 42, 49, 8, 17, 43, 52, 44, 53, 54]
[16, 42, 8, 17, 43, 50, 52, 44, 51, 53]
[16, 42, 8, 17, 43, 50, 52, 44, 51, 54]
[16, 42, 8, 17, 43, 50, 44, 51, 53, 54]
[16, 42, 8, 17, 43, 50, 52, 44, 53, 54]
[16, 42, 8, 17, 43, 52, 44, 51, 53, 54]
[16, 42, 49, 8, 17, 43, 50, 52, 51, 53]
[16, 42, 49, 8, 17, 43, 50, 52, 51, 54]
[16, 42, 49, 8, 17, 43, 50, 51, 53, 54]
[16, 42, 49, 8, 17, 43, 50, 52, 53, 54]
[16, 42, 49, 8, 17, 43, 52, 51, 53, 54]
[16, 42, 8, 17, 43, 50, 52, 51, 53, 54]
[16, 42, 49, 8, 17, 50, 52, 44, 51, 53]
[16, 42, 49, 8, 17, 50, 52, 44, 51, 54]
[16, 42, 49, 8, 17, 50, 44, 51, 53, 54]
[16, 42, 49, 8, 17, 50, 52, 44, 53, 54]
[16, 42, 49, 8, 17, 52, 44, 51, 53, 54]
[16, 42, 8, 17, 50, 52, 44, 51, 53, 54]
[16, 42, 49, 8, 17, 50, 52, 51, 53, 54]
[16, 49, 8, 17, 43, 50, 52, 44, 51, 53]
[16, 49, 8, 17, 43, 50, 52, 44, 51, 54]
[16, 49, 8, 17, 43, 50, 44, 51, 53, 54]
[16, 49, 8, 17, 43, 50, 52, 44, 53, 54]
[16, 49, 8, 17, 43, 52, 44, 51, 53, 54]
[16, 8, 17, 43, 50, 52, 44, 51, 53, 54]
[16, 49, 8, 17, 43, 50, 52, 51, 53, 54]
[16, 49, 8, 17, 50, 52, 44, 51, 53, 54]
[40, 16, 42, 49, 8, 43, 50, 18, 44, 51]
[40, 16, 42, 49, 8, 43, 50, 52, 18, 44]
[40, 16, 42, 49, 8, 43, 50, 18, 44, 53]
[40, 16, 42, 49, 8, 43, 50, 18, 44, 54]
[40, 16, 42, 49, 8, 43, 52, 18, 44, 51]
[40, 16, 42, 49, 8, 43, 18, 44, 51, 53]
[40, 16, 42, 49, 8, 43, 18, 44, 51, 54]
[40, 16, 42, 49, 8, 43, 52, 18, 44, 53]
[40, 16, 42, 49, 8, 43, 52, 18, 44, 54]
[40, 16, 42, 49, 8, 43, 18, 44, 53, 54]
[40, 16, 42, 8, 43, 50, 52, 18, 44, 51]
[40, 16, 42, 8, 43, 50, 18, 44, 51, 53]
[40, 16, 42, 8, 43, 50, 18, 44, 51, 54]
[40, 16, 42, 8, 43, 50, 52, 18, 44, 53]
[40, 16, 42, 8, 43, 50, 52, 18, 44, 54]
[40, 16, 42, 8, 43, 50, 18, 44, 53, 54]
[40, 16, 42, 8, 43, 52, 18, 44, 51, 53]
[40, 16, 42, 8, 43, 52, 18, 44, 51, 54]
[40, 16, 42, 8, 43, 18, 44, 51, 53, 54]
[40, 16, 42, 8, 43, 52, 18, 44, 53, 54]
[40, 16, 42, 49, 8, 43, 50, 52, 18, 51]
[40, 16, 42, 49, 8, 43, 50, 18, 51, 53]
[40, 16, 42, 49, 8, 43, 50, 18, 51, 54]
[40, 16, 42, 49, 8, 43, 50, 52, 18, 53]
[40, 16, 42, 49, 8, 43, 50, 52, 18, 54]
[40, 16, 42, 49, 8, 43, 50, 18, 53, 54]
[40, 16, 42, 49, 8, 43, 52, 18, 51, 53]
[40, 16, 42, 49, 8, 43, 52, 18, 51, 54]
[40, 16, 42, 49, 8, 43, 18, 51, 53, 54]
[40, 16, 42, 49, 8, 43, 52, 18, 53, 54]
[40, 16, 42, 8, 43, 50, 52, 18, 51, 53]
[40, 16, 42, 8, 43, 50, 52, 18, 51, 54]
[40, 16, 42, 8, 43, 50, 18, 51, 53, 54]
[40, 16, 42, 8, 43, 50, 52, 18, 53, 54]
[40, 16, 42, 8, 43, 52, 18, 51, 53, 54]
[40, 16, 42, 49, 8, 50, 52, 18, 44, 51]
[40, 16, 42, 49, 8, 50, 18, 44, 51, 53]
[40, 16, 42, 49, 8, 50, 18, 44, 51, 54]
[40, 16, 42, 49, 8, 50, 52, 18, 44, 53]
[40, 16, 42, 49, 8, 50, 52, 18, 44, 54]
[40, 16, 42, 49, 8, 50, 18, 44, 53, 54]
[40, 16, 42, 49, 8, 52, 18, 44, 51, 53]
[40, 16, 42, 49, 8, 52, 18, 44, 51, 54]
[40, 16, 42, 49, 8, 18, 44, 51, 53, 54]
[40, 16, 42, 49, 8, 52, 18, 44, 53, 54]
[40, 16, 42, 8, 50, 52, 18, 44, 51, 53]
[40, 16, 42, 8, 50, 52, 18, 44, 51, 54]
[40, 16, 42, 8, 50, 18, 44, 51, 53, 54]
[40, 16, 42, 8, 50, 52, 18, 44, 53, 54]
[40, 16, 42, 8, 52, 18, 44, 51, 53, 54]
[40, 16, 42, 49, 8, 50, 52, 18, 51, 53]
[40, 16, 42, 49, 8, 50, 52, 18, 51, 54]
[40, 16, 42, 49, 8, 50, 18, 51, 53, 54]
[40, 16, 42, 49, 8, 50, 52, 18, 53, 54]
[40, 16, 42, 49, 8, 52, 18, 51, 53, 54]
[40, 16, 42, 8, 50, 52, 18, 51, 53, 54]
[40, 16, 49, 8, 43, 50, 52, 18, 44, 51]
[40, 16, 49, 8, 43, 50, 18, 44, 51, 53]
[40, 16, 49, 8, 43, 50, 18, 44, 51, 54]
[40, 16, 49, 8, 43, 50, 52, 18, 44, 53]
[40, 16, 49, 8, 43, 50, 52, 18, 44, 54]
[40, 16, 49, 8, 43, 50, 18, 44, 53, 54]
[40, 16, 49, 8, 43, 52, 18, 44, 51, 53]
[40, 16, 49, 8, 43, 52, 18, 44, 51, 54]
[40, 16, 49, 8, 43, 18, 44, 51, 53, 54]
[40, 16, 49, 8, 43, 52, 18, 44, 53, 54]
[40, 16, 8, 43, 50, 52, 18, 44, 51, 53]
[40, 16, 8, 43, 50, 52, 18, 44, 51, 54]
[40, 16, 8, 43, 50, 18, 44, 51, 53, 54]
[40, 16, 8, 43, 50, 52, 18, 44, 53, 54]
[40, 16, 8, 43, 52, 18, 44, 51, 53, 54]
[40, 16, 49, 8, 43, 50, 52, 18, 51, 53]
[40, 16, 49, 8, 43, 50, 52, 18, 51, 54]
[40, 16, 49, 8, 43, 50, 18, 51, 53, 54]
[40, 16, 49, 8, 43, 50, 52, 18, 53, 54]
[40, 16, 49, 8, 43, 52, 18, 51, 53, 54]
[40, 16, 8, 43, 50, 52, 18, 51, 53, 54]
[40, 16, 49, 8, 50, 52, 18, 44, 51, 53]
[40, 16, 49, 8, 50, 52, 18, 44, 51, 54]
[40, 16, 49, 8, 50, 18, 44, 51, 53, 54]
[40, 16, 49, 8, 50, 52, 18, 44, 53, 54]
[40, 16, 49, 8, 52, 18, 44, 51, 53, 54]
[40, 16, 8, 50, 52, 18, 44, 51, 53, 54]
[40, 16, 49, 8, 50, 52, 18, 51, 53, 54]
[16, 42, 49, 8, 43, 50, 52, 18, 44, 51]
[16, 42, 49, 8, 43, 50, 18, 44, 51, 53]
[16, 42, 49, 8, 43, 50, 18, 44, 51, 54]
[16, 42, 49, 8, 43, 50, 52, 18, 44, 53]
[16, 42, 49, 8, 43, 50, 52, 18, 44, 54]
[16, 42, 49, 8, 43, 50, 18, 44, 53, 54]
[16, 42, 49, 8, 43, 52, 18, 44, 51, 53]
[16, 42, 49, 8, 43, 52, 18, 44, 51, 54]
[16, 42, 49, 8, 43, 18, 44, 51, 53, 54]
[16, 42, 49, 8, 43, 52, 18, 44, 53, 54]
[16, 42, 8, 43, 50, 52, 18, 44, 51, 53]
[16, 42, 8, 43, 50, 52, 18, 44, 51, 54]
[16, 42, 8, 43, 50, 18, 44, 51, 53, 54]
[16, 42, 8, 43, 50, 52, 18, 44, 53, 54]
[16, 42, 8, 43, 52, 18, 44, 51, 53, 54]
[16, 42, 49, 8, 43, 50, 52, 18, 51, 53]
[16, 42, 49, 8, 43, 50, 52, 18, 51, 54]
[16, 42, 49, 8, 43, 50, 18, 51, 53, 54]
[16, 42, 49, 8, 43, 50, 52, 18, 53, 54]
[16, 42, 49, 8, 43, 52, 18, 51, 53, 54]
[16, 42, 8, 43, 50, 52, 18, 51, 53, 54]
[16, 42, 49, 8, 50, 52, 18, 44, 51, 53]
[16, 42, 49, 8, 50, 52, 18, 44, 51, 54]
[16, 42, 49, 8, 50, 18, 44, 51, 53, 54]
[16, 42, 49, 8, 50, 52, 18, 44, 53, 54]
[16, 42, 49, 8, 52, 18, 44, 51, 53, 54]
[16, 42, 8, 50, 52, 18, 44, 51, 53, 54]
[16, 42, 49, 8, 50, 52, 18, 51, 53, 54]
[16, 49, 8, 43, 50, 52, 18, 44, 51, 53]
[16, 49, 8, 43, 50, 52, 18, 44, 51, 54]
[16, 49, 8, 43, 50, 18, 44, 51, 53, 54]
[16, 49, 8, 43, 50, 52, 18, 44, 53, 54]
[16, 49, 8, 43, 52, 18, 44, 51, 53, 54]
[16, 8, 43, 50, 52, 18, 44, 51, 53, 54]
[16, 49, 8, 43, 50, 52, 18, 51, 53, 54]
[16, 49, 8, 50, 52, 18, 44, 51, 53, 54]
[40, 16, 42, 49, 8, 43, 50, 52, 44, 51]
[40, 16, 42, 49, 8, 43, 50, 44, 51, 53]
[40, 16, 42, 49, 8, 43, 50, 44, 51, 54]
[40, 16, 42, 49, 8, 43, 50, 52, 44, 53]
[40, 16, 42, 49, 8, 43, 50, 52, 44, 54]
[40, 16, 42, 49, 8, 43, 50, 44, 53, 54]
[40, 16, 42, 49, 8, 43, 52, 44, 51, 53]
[40, 16, 42, 49, 8, 43, 52, 44, 51, 54]
[40, 16, 42, 49, 8, 43, 44, 51, 53, 54]
[40, 16, 42, 49, 8, 43, 52, 44, 53, 54]
[40, 16, 42, 8, 43, 50, 52, 44, 51, 53]
[40, 16, 42, 8, 43, 50, 52, 44, 51, 54]
[40, 16, 42, 8, 43, 50, 44, 51, 53, 54]
[40, 16, 42, 8, 43, 50, 52, 44, 53, 54]
[40, 16, 42, 8, 43, 52, 44, 51, 53, 54]
[40, 16, 42, 49, 8, 43, 50, 52, 51, 53]
[40, 16, 42, 49, 8, 43, 50, 52, 51, 54]
[40, 16, 42, 49, 8, 43, 50, 51, 53, 54]
[40, 16, 42, 49, 8, 43, 50, 52, 53, 54]
[40, 16, 42, 49, 8, 43, 52, 51, 53, 54]
[40, 16, 42, 8, 43, 50, 52, 51, 53, 54]
[40, 16, 42, 49, 8, 50, 52, 44, 51, 53]
[40, 16, 42, 49, 8, 50, 52, 44, 51, 54]
[40, 16, 42, 49, 8, 50, 44, 51, 53, 54]
[40, 16, 42, 49, 8, 50, 52, 44, 53, 54]
[40, 16, 42, 49, 8, 52, 44, 51, 53, 54]
[40, 16, 42, 8, 50, 52, 44, 51, 53, 54]
[40, 16, 42, 49, 8, 50, 52, 51, 53, 54]
[40, 16, 49, 8, 43, 50, 52, 44, 51, 53]
[40, 16, 49, 8, 43, 50, 52, 44, 51, 54]
[40, 16, 49, 8, 43, 50, 44, 51, 53, 54]
[40, 16, 49, 8, 43, 50, 52, 44, 53, 54]
[40, 16, 49, 8, 43, 52, 44, 51, 53, 54]
[40, 16, 8, 43, 50, 52, 44, 51, 53, 54]
[40, 16, 49, 8, 43, 50, 52, 51, 53, 54]
[40, 16, 49, 8, 50, 52, 44, 51, 53, 54]
[16, 42, 49, 8, 43, 50, 52, 44, 51, 53]
[16, 42, 49, 8, 43, 50, 52, 44, 51, 54]
[16, 42, 49, 8, 43, 50, 44, 51, 53, 54]
[16, 42, 49, 8, 43, 50, 52, 44, 53, 54]
[16, 42, 49, 8, 43, 52, 44, 51, 53, 54]
[16, 42, 8, 43, 50, 52, 44, 51, 53, 54]
[16, 42, 49, 8, 43, 50, 52, 51, 53, 54]
[16, 42, 49, 8, 50, 52, 44, 51, 53, 54]
[16, 49, 8, 43, 50, 52, 44, 51, 53, 54]
[40, 42, 49, 8, 17, 43, 50, 18, 44, 51]
[40, 42, 49, 8, 17, 43, 50, 52, 18, 44]
[40, 42, 49, 8, 17, 43, 50, 18, 44, 53]
[40, 42, 49, 8, 17, 43, 50, 18, 44, 54]
[40, 42, 49, 8, 17, 43, 52, 18, 44, 51]
[40, 42, 49, 8, 17, 43, 18, 44, 51, 53]
[40, 42, 49, 8, 17, 43, 18, 44, 51, 54]
[40, 42, 49, 8, 17, 43, 52, 18, 44, 53]
[40, 42, 49, 8, 17, 43, 52, 18, 44, 54]
[40, 42, 49, 8, 17, 43, 18, 44, 53, 54]
[40, 42, 8, 17, 43, 50, 52, 18, 44, 51]
[40, 42, 8, 17, 43, 50, 18, 44, 51, 53]
[40, 42, 8, 17, 43, 50, 18, 44, 51, 54]
[40, 42, 8, 17, 43, 50, 52, 18, 44, 53]
[40, 42, 8, 17, 43, 50, 52, 18, 44, 54]
[40, 42, 8, 17, 43, 50, 18, 44, 53, 54]
[40, 42, 8, 17, 43, 52, 18, 44, 51, 53]
[40, 42, 8, 17, 43, 52, 18, 44, 51, 54]
[40, 42, 8, 17, 43, 18, 44, 51, 53, 54]
[40, 42, 8, 17, 43, 52, 18, 44, 53, 54]
[40, 42, 49, 8, 17, 43, 50, 52, 18, 51]
[40, 42, 49, 8, 17, 43, 50, 18, 51, 53]
[40, 42, 49, 8, 17, 43, 50, 18, 51, 54]
[40, 42, 49, 8, 17, 43, 50, 52, 18, 53]
[40, 42, 49, 8, 17, 43, 50, 52, 18, 54]
[40, 42, 49, 8, 17, 43, 50, 18, 53, 54]
[40, 42, 49, 8, 17, 43, 52, 18, 51, 53]
[40, 42, 49, 8, 17, 43, 52, 18, 51, 54]
[40, 42, 49, 8, 17, 43, 18, 51, 53, 54]
[40, 42, 49, 8, 17, 43, 52, 18, 53, 54]
[40, 42, 8, 17, 43, 50, 52, 18, 51, 53]
[40, 42, 8, 17, 43, 50, 52, 18, 51, 54]
[40, 42, 8, 17, 43, 50, 18, 51, 53, 54]
[40, 42, 8, 17, 43, 50, 52, 18, 53, 54]
[40, 42, 8, 17, 43, 52, 18, 51, 53, 54]
[40, 42, 49, 8, 17, 50, 52, 18, 44, 51]
[40, 42, 49, 8, 17, 50, 18, 44, 51, 53]
[40, 42, 49, 8, 17, 50, 18, 44, 51, 54]
[40, 42, 49, 8, 17, 50, 52, 18, 44, 53]
[40, 42, 49, 8, 17, 50, 52, 18, 44, 54]
[40, 42, 49, 8, 17, 50, 18, 44, 53, 54]
[40, 42, 49, 8, 17, 52, 18, 44, 51, 53]
[40, 42, 49, 8, 17, 52, 18, 44, 51, 54]
[40, 42, 49, 8, 17, 18, 44, 51, 53, 54]
[40, 42, 49, 8, 17, 52, 18, 44, 53, 54]
[40, 42, 8, 17, 50, 52, 18, 44, 51, 53]
[40, 42, 8, 17, 50, 52, 18, 44, 51, 54]
[40, 42, 8, 17, 50, 18, 44, 51, 53, 54]
[40, 42, 8, 17, 50, 52, 18, 44, 53, 54]
[40, 42, 8, 17, 52, 18, 44, 51, 53, 54]
[40, 42, 49, 8, 17, 50, 52, 18, 51, 53]
[40, 42, 49, 8, 17, 50, 52, 18, 51, 54]
[40, 42, 49, 8, 17, 50, 18, 51, 53, 54]
[40, 42, 49, 8, 17, 50, 52, 18, 53, 54]
[40, 42, 49, 8, 17, 52, 18, 51, 53, 54]
[40, 42, 8, 17, 50, 52, 18, 51, 53, 54]
[40, 49, 8, 17, 43, 50, 52, 18, 44, 51]
[40, 49, 8, 17, 43, 50, 18, 44, 51, 53]
[40, 49, 8, 17, 43, 50, 18, 44, 51, 54]
[40, 49, 8, 17, 43, 50, 52, 18, 44, 53]
[40, 49, 8, 17, 43, 50, 52, 18, 44, 54]
[40, 49, 8, 17, 43, 50, 18, 44, 53, 54]
[40, 49, 8, 17, 43, 52, 18, 44, 51, 53]
[40, 49, 8, 17, 43, 52, 18, 44, 51, 54]
[40, 49, 8, 17, 43, 18, 44, 51, 53, 54]
[40, 49, 8, 17, 43, 52, 18, 44, 53, 54]
[40, 8, 17, 43, 50, 52, 18, 44, 51, 53]
[40, 8, 17, 43, 50, 52, 18, 44, 51, 54]
[40, 8, 17, 43, 50, 18, 44, 51, 53, 54]
[40, 8, 17, 43, 50, 52, 18, 44, 53, 54]
[40, 8, 17, 43, 52, 18, 44, 51, 53, 54]
[40, 49, 8, 17, 43, 50, 52, 18, 51, 53]
[40, 49, 8, 17, 43, 50, 52, 18, 51, 54]
[40, 49, 8, 17, 43, 50, 18, 51, 53, 54]
[40, 49, 8, 17, 43, 50, 52, 18, 53, 54]
[40, 49, 8, 17, 43, 52, 18, 51, 53, 54]
[40, 8, 17, 43, 50, 52, 18, 51, 53, 54]
[40, 49, 8, 17, 50, 52, 18, 44, 51, 53]
[40, 49, 8, 17, 50, 52, 18, 44, 51, 54]
[40, 49, 8, 17, 50, 18, 44, 51, 53, 54]
[40, 49, 8, 17, 50, 52, 18, 44, 53, 54]
[40, 49, 8, 17, 52, 18, 44, 51, 53, 54]
[40, 8, 17, 50, 52, 18, 44, 51, 53, 54]
[40, 49, 8, 17, 50, 52, 18, 51, 53, 54]
[42, 49, 8, 17, 43, 50, 52, 18, 44, 51]
[42, 49, 8, 17, 43, 50, 18, 44, 51, 53]
[42, 49, 8, 17, 43, 50, 18, 44, 51, 54]
[42, 49, 8, 17, 43, 50, 52, 18, 44, 53]
[42, 49, 8, 17, 43, 50, 52, 18, 44, 54]
[42, 49, 8, 17, 43, 50, 18, 44, 53, 54]
[42, 49, 8, 17, 43, 52, 18, 44, 51, 53]
[42, 49, 8, 17, 43, 52, 18, 44, 51, 54]
[42, 49, 8, 17, 43, 18, 44, 51, 53, 54]
[42, 49, 8, 17, 43, 52, 18, 44, 53, 54]
[42, 8, 17, 43, 50, 52, 18, 44, 51, 53]
[42, 8, 17, 43, 50, 52, 18, 44, 51, 54]
[42, 8, 17, 43, 50, 18, 44, 51, 53, 54]
[42, 8, 17, 43, 50, 52, 18, 44, 53, 54]
[42, 8, 17, 43, 52, 18, 44, 51, 53, 54]
[42, 49, 8, 17, 43, 50, 52, 18, 51, 53]
[42, 49, 8, 17, 43, 50, 52, 18, 51, 54]
[42, 49, 8, 17, 43, 50, 18, 51, 53, 54]
