[[ 1, 1, 16, 25, 41, 94 ],'<2, 1>',x^23 + x^20 + x^16 + x^15*y + x^14 + x^12*y + x^12 + x^11*y + x^10*y + x^10 + x^9*y^2 + x^9*y + x^9 + x^8 + x^7*y^2 + x^7*y + x^6*y^2 + x^6*y + x^5*y^2 + x^4 + y^4]
[[ 1, 1, 10, 25, 41, 94 ],'<2, 1>',x^23 + x^22 + x^20 + x^18 + x^15*y + x^14*y + x^12*y + x^11 + x^10*y + x^8*y^2 + x^8 + x^7*y + x^6 + x^5*y^2 + x^5*y + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 5, 10, 33, 51, 86 ],'<2, 1>',x^23 + x^20 + x^17 + x^16 + x^15*y + x^13*y + x^12*y + x^10*y + x^10 + x^9*y^2 + x^9*y + x^8*y^2 + x^7 + x^6*y^2 + x^6*y + x^4 + y^4]
[[ 1, 5, 16, 33, 31, 86 ],'<2, 1>',x^23 + x^20 + x^19 + x^18 + x^16 + x^15*y + x^14 + x^13*y + x^13 + x^12*y + x^12 + x^10*y + x^9*y^2 + x^9*y + x^8*y^2 + x^7 + x^6*y^2 + x^6*y + x^4 + y^4]
[[ 1, 9, 16, 41, 41, 78 ],'<2, 1>',x^23 + x^22 + x^20 + x^16 + x^15*y + x^14*y + x^14 + x^13 + x^8*y^2 + x^7*y^2 + x^7*y + x^7 + x^6*y^2 + x^6*y + x^6 + x^5*y^2 + x^5*y + x^5 + x^4*y^2 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 9, 10, 41, 41, 78 ],'<2, 1>',x^23 + x^22 + x^20 + x^19 + x^18 + x^15*y + x^14*y + x^14 + x^13 + x^11 + x^10 + x^9 + x^8*y^2 + x^7*y^2 + x^7*y + x^7 + x^6*y^2 + x^6*y + x^5*y^2 + x^5*y + x^5 + x^4*y^2 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 5, 22, 33, 31, 62 ],'<2, 1>',x^15 + x^12 + x^10 + x^9*y + x^8*y + x^8 + x^7*y + x^6 + x^5*y^2 + x^5*y + x^4*y + x^4 + x^2*y^2 + x^2*y + x^2 + x*y^2 + x*y + x + y^4 + y^2 + 1]
[[ 1, 5, 4, 33, 51, 62 ],'<2, 1>',x^15 + x^12 + x^11 + x^10 + x^9*y + x^8*y + x^7*y + x^5*y^2 + x^5*y + x^5 + x^4*y + x^3 + x^2*y^2 + x^2*y + x^2 + x*y^2 + x*y + y^4 + y^2]
[[ 1, 9, 16, 25, 61, 78 ],'<2, 1>',x^23 + x^22 + x^20 + x^16 + x^15*y + x^13*y + x^13 + x^12*y + x^12 + x^11*y + x^11 + x^10*y + x^8*y + x^8 + x^7*y + x^5*y^2 + x^5 + x^4*y + x^4 + x^3*y^2 + x^2*y^2 + y^4]
[[ 1, 9, 10, 25, 21, 78 ],'<2, 1>',x^15 + x^14 + x^13 + x^11 + x^9*y + x^8 + x^5*y^2 + x^5*y + x^5 + x^4 + x^3*y + x^2 + x*y^2 + x*y + y^4 + y^2]
