[ 1, 5, 40, 7, 17, 43, 52, 9, 44, 53, 54 ],1
[ 1, 5, 40, 7, 17, 43, 52, 9, 51, 53, 54 ],1
[ 1, 5, 40, 7, 17, 52, 9, 44, 51, 53, 54 ],1
[ 1, 5, 7, 17, 43, 52, 9, 44, 51, 53, 54 ],1
[ 1, 5, 7, 17, 43, 50, 52, 9, 51, 53, 54 ],1
[ 1, 5, 7, 17, 50, 52, 9, 44, 51, 53, 54 ],1
[ 1, 5, 7, 43, 50, 52, 9, 18, 51, 53, 54 ],1
[ 1, 10, 5, 14, 7, 16, 17, 50, 52, 18, 54 ],1
[ 1, 10, 5, 14, 7, 16, 17, 52, 18, 51, 54 ],1
[ 1, 10, 5, 14, 7, 16, 17, 52, 18, 53, 54 ],1
[ 1, 10, 5, 14, 7, 16, 17, 43, 50, 52, 54 ],1
[ 1, 10, 5, 14, 7, 16, 17, 43, 52, 51, 54 ],1
[ 1, 10, 5, 14, 7, 16, 17, 43, 52, 53, 54 ],1
[ 1, 10, 5, 14, 7, 16, 17, 50, 52, 44, 54 ],1
[ 1, 10, 5, 14, 7, 16, 17, 50, 52, 53, 54 ],1
[ 1, 10, 5, 14, 7, 16, 17, 52, 51, 53, 54 ],1
[ 1, 10, 5, 14, 7, 16, 43, 50, 52, 18, 54 ],1
[ 1, 10, 5, 14, 7, 16, 50, 52, 18, 44, 54 ],1
[ 1, 10, 5, 14, 7, 16, 43, 50, 52, 44, 54 ],1
[ 1, 10, 5, 14, 7, 16, 43, 50, 52, 53, 54 ],1
[ 1, 5, 14, 7, 16, 8, 43, 52, 9, 44, 53, 54 ],1
[ 1, 10, 5, 14, 7, 16, 50, 52, 44, 53, 54 ],1
[ 1, 10, 5, 14, 7, 16, 50, 52, 51, 53, 54 ],1
[ 1, 10, 5, 14, 7, 17, 43, 50, 52, 18, 54 ],1
[ 1, 10, 14, 7, 52, 9, 44, 51, 53, 54 ],1
[ 1, 10, 5, 14, 7, 17, 43, 52, 18, 51, 54 ],1
[ 1, 10, 5, 14, 7, 17, 43, 52, 18, 53, 54 ],1
[ 1, 10, 5, 14, 7, 17, 50, 52, 18, 44, 54 ],1
[ 1, 10, 5, 14, 7, 17, 52, 18, 44, 51, 54 ],1
[ 1, 10, 5, 14, 7, 17, 52, 18, 44, 53, 54 ],1
[ 1, 10, 5, 14, 7, 17, 50, 52, 18, 53, 54 ],1
[ 1, 10, 5, 14, 7, 17, 52, 18, 51, 53, 54 ],1
[ 1, 10, 5, 14, 7, 17, 43, 50, 52, 44, 54 ],1
[ 1, 10, 5, 14, 7, 17, 43, 52, 44, 53, 54 ],1
[ 1, 10, 5, 14, 7, 17, 43, 50, 52, 53, 54 ],1
[ 1, 10, 5, 14, 7, 17, 43, 52, 51, 53, 54 ],1
[ 1, 10, 5, 14, 7, 17, 50, 52, 44, 53, 54 ],1
[ 1, 10, 5, 14, 7, 17, 52, 44, 51, 53, 54 ],1
[ 1, 10, 5, 14, 7, 17, 50, 52, 51, 53, 54 ],1
[ 1, 10, 5, 14, 7, 52, 18, 44, 51, 53, 54 ],2
[ 1, 10, 5, 7, 16, 17, 43, 50, 52, 18, 54 ],1
[ 1, 10, 5, 7, 16, 17, 43, 52, 18, 51, 54 ],1
[ 1, 10, 5, 7, 16, 17, 43, 52, 18, 53, 54 ],1
[ 1, 10, 5, 7, 16, 17, 50, 52, 18, 44, 54 ],1
[ 1, 10, 5, 7, 16, 17, 52, 18, 44, 51, 54 ],1
[ 1, 10, 5, 7, 16, 17, 52, 18, 44, 53, 54 ],1
[ 1, 10, 5, 7, 16, 17, 50, 52, 18, 53, 54 ],1
[ 1, 10, 5, 7, 16, 17, 52, 18, 51, 53, 54 ],1
[ 1, 10, 5, 7, 16, 17, 43, 52, 44, 51, 54 ],1
[ 1, 10, 5, 7, 16, 17, 43, 50, 52, 53, 54 ],1
[ 1, 10, 5, 7, 16, 17, 50, 52, 44, 53, 54 ],1
[ 0, 1, 10, 5, 16, 8, 52, 9, 18, 53, 54 ],1
[ 1, 10, 5, 7, 16, 17, 52, 44, 51, 53, 54 ],1
